Our ^pp$+pp1+++=Our
analysis ^nn++++=analysis
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
legislators ^nns+++??+=legislators
serve ^vb++++=serve
as ^in++++=as
important ^jj+atrb+++=important
sources ^nns++++=sources
of ^in++++=of
information ^nn++++=information
for ^in++++=for
local ^jj+atrb+++=local
brokers ^nns++++=brokers.
. ^zz++++=EXTRAWORD
A ^at++++=A
substantial ^jj+atrb+++=substantial
portion ^nn++++=portion
of ^in++++=of
the ^ati++++=the
support ^nn++++=support
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
legislative ^jj+atrb+++=legislative
offices ^nns++++=offices
to ^in++++=to
their ^pp$+pp3+++=their
allies ^nns++++=allies
consists ^vbz++++=consists
of ^in++++=of
information ^nn++++=information
derived ^vbd+++xvbn+=derived
from ^in++++=from
their ^pp$+pp3+++=their
specialized ^jj+atrb++xvbn+=specialized
expertise ^nn++++=expertise
and ^cc++++=and
privileged ^jj+atrb+++=privileged
access ^nn++++=access
to ^in++++=to
state ^nn++++=state
executive ^nn++++=executive
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
resources ^nns++++=resources
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
often ^rb++++=often
unavailable ^jj+pred+++=unavailable
to ^in++++=to
leaders ^nns++++=leaders
in ^in++++=in
many ^ap++++=many
municipalities ^nns+++??+=municipalities.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
exists ^vbz++++=exists
a ^at++++=a
mutual ^jj+atrb+++=mutual
dependence ^nn++++=dependence
on ^in++++=on
information ^vb++++=information
that ^tht+vcmp+subj++=that
is ^vbz+bez+aux++=is
valued ^vpsv++by+xvbnx+=valued
by ^in++++=by
each ^dt++++=each
party ^nn++++=party
involved ^vbd+++xvbn+=involved
in ^in++++=in
these ^dt+dem+++=these
interactions ^nns++++=interactions.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
interpretation ^nn++++=interpretation
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Brierley ^np+++??+=Brierley
and ^cc++++=and
Nathan ^np++++=Nathan
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
conducted ^vbd+++xvbn+=conducted
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
comprehensive ^jj+atrb+++=comprehensive
studies ^nns++++=studies
on ^in++++=on
brokers ^nns++++=brokers
to ^in++++=to
date ^nn++++=date.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
examination ^nn++++=examination
of ^in++++=of
broker ^nn++++=broker
selection ^nn++++=selection
in ^in++++=in
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
no ^at++++=no
evidence ^nn++++=evidence
supporting ^vwbg+++xvbg+=supporting
the ^ati++++=the
information ^nn++++=information
asymmetry ^nn+++??+=asymmetry
model ^nn++++=model
( ^zz++++=(2021:1).
2021:1 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
brokers ^nns++++=brokers
is ^vbz+bez+aux++=is
influenced ^vpsv++agls+xvbnx+=influenced
more ^rbr++++=more
by ^in++++=by
their ^pp$+pp3+++=their
upward ^jjb+atrb+++=upward
connections ^nns++++=connections
and ^cc++++=and
personal ^jj+atrb+++=personal
relationships ^nns++++=relationships
with ^in++++=with
party ^nn++++=party
elites ^nns+++??+=elites
than ^in++++=than
by ^in++++=by
their ^pp$+pp3+++=their
ties ^nns++++=ties
to ^in++++=to
ordinary ^jj+atrb+++=ordinary
voters ^nns++++=voters
or ^cc++++=or
detailed ^jj+atrb+++=detailed
knowledge ^nn++++=knowledge
about ^rb++++=about
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Brokers ^np+++??+=Brokers
with ^in++++=with
stronger ^jjr+atrb+++=stronger
upward ^jjb+atrb+++=upward
connections ^nns++++=connections
possess ^vb++++=possess
greater ^jjr+atrb+++=greater
knowledge ^nn++++=knowledge
and ^cc++++=and
access ^nn++++=access
to ^in++++=to
government ^nn++++=government
agencies ^nns++++=agencies
that ^tht+rel+obj++=that
control ^nn++++=control
the ^ati++++=the
resources ^nns++++=resources
sought ^vbd+++xvbn+=sought
by ^in++++=by
voters ^nns++++=voters.
. ^zz++++=EXTRAWORD
