Goeppertia ^np+++??+=Goeppertia
monophylla ^nn+++??+=monophylla
is ^vbz+bez+vrb++=is
endemic ^jj+pred+++=endemic
to ^in++++=to
Brazil ^np++++=Brazil
and ^cc++++=and
occurs ^vbz++++=occurs
in ^in++++=in
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
within ^in++++=within
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Bahia ^np+++??+=Bahia,
, ^zz++++=EXTRAWORD
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Paran ^np+++??+=Paran
, ^zz++++=,
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
( ^zz++++=(Saka
saka ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
species ^nn++++=species
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
humid ^jj++++=humid,
, ^zz++++=EXTRAWORD
shaded ^xvbn+++xvbn+=shaded
habitats ^nns++++=habitats
in ^in++++=in
proximity ^nn++++=proximity
to ^in++++=to
watercourses ^nns++++=watercourses.
. ^zz++++=EXTRAWORD
