Classroom ^nn++++=Classroom-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
studies ^nns++++=studies
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
elementary ^jj+atrb+++=elementary
and ^cc+phrs+++=and
higher ^jjr+atrb+++=higher
education ^nn++++=education
levels ^nns++++=levels
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
researched ^vbd+++xvbn+=researched
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
gestures ^nns++++=gestures
in ^in++++=in
education ^nn++++=education,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
postgraduate ^jjb+atrb+++=postgraduate
classrooms ^nns++++=classrooms
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
comparatively ^rb++++=comparatively
little ^jj+atrb+++=little
attention ^nn++++=attention
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
graph ^nn++++=Graph
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
