3 ^zz++++=3.
. ^zz++++=EXTRAWORD
Exploration ^nn++++=Exploration.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
category ^nn++++=category
encompasses ^vbz++++=encompasses
behaviors ^nns+++??+=behaviors
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
child ^nn++++=child
not ^xnot++not++=not
only ^rb+down+++=only
detects ^vbz++++=detects
and ^cc++++=and
briefly ^rb++++=briefly
observes ^vbz+vprv+++=observes
a ^at++++=a
phenomenon ^nn++++=phenomenon
but ^cc++++=but
also ^rb++++=also
engages ^nns+++??+=engages
in ^in++++=in
actions ^nns++++=actions
that ^tht+rel+subj++=that
demonstrate ^vb+vprv+++=demonstrate
an ^at++++=an
intention ^nn++++=intention
to ^to+ncmp+++=to
gain ^vbi++++=gain
a ^at++++=a
deeper ^jjr++++=deeper
understanding ^jj+++xvbg+=understanding
of ^in++++=of
its ^pp$+it+++=its
functioning ^nvbg+++xvbg+=functioning,
, ^zz++++=EXTRAWORD
often ^rb++++=often
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
achieving ^xvbg+++xvbg+=achieving
a ^at++++=a
goal ^nn++++=goal
beyond ^in++++=beyond
mere ^jjb+atrb+++=mere
cognitive ^jj+atrb++??+=cognitive
curiosity ^nn++++=curiosity.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Alice ^np++++=Alice
attempts ^vb++++=attempts
to ^to+vcmp+++=to
obtain ^vbi++++=obtain
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
cellotape ^nn+++??+=cellotape
but ^cc++++=but
is ^vbz+bez+vrb++=is
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
tear ^vb++++=tear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
increases ^vbz++++=increases
the ^ati++++=the
force ^nn++++=force
applied ^vwbn+++xvbn+=applied
and ^cc+phrs+++=and
observes ^vbz+vprv+++=observes
that ^tht+vcmp+++=that
the ^ati++++=the
tape ^nn++++=tape
stretches ^vbz++++=stretches
without ^in++++=without
tearing ^nn++++=tearing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
then ^rn+tm+++=then
attempts ^vbz++++=attempts
to ^to+vcmp+++=to
tear ^vbi++++=tear
it ^pp3+it+++=it
with ^in++++=with
her ^pp$+pp3+++=her
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
hypothesizing ^vb+++??+=hypothesizing
that ^tht+vcmp+++=that
increased ^jj+atrb++xvbn+=increased
force ^nn++++=force
or ^cc++++=or
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
teeth ^nns++++=teeth
might ^md+pos+++=might
be ^vb+be+vrb++=be
effective ^jj+pred+++=effective,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
method ^nn++++=method
also ^rb++++=also
fails ^vbz++++=fails.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
returns ^nns++++=returns
the ^ati++++=the
tape ^nn++++=tape
to ^in++++=to
the ^ati++++=the
box ^nn++++=box
while ^cs+sub+++=while
still ^rb++++=still
holding ^vbg+vprv++xvbg+=holding
the ^ati++++=the
cardboard ^nn++++=cardboard
roll ^nn++++=roll,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
her ^pp$+pp3+++=her
exploratory ^jj+atrb+++=exploratory
attempt ^nn++++=attempt.
. ^zz++++=EXTRAWORD
