Examples ^nns++++=Examples
of ^in++++=of
didactic ^nn+++??+=didactic
activities ^nns++++=activities
from ^in++++=from
the ^ati++++=the
Vocabulary ^nn++++=Vocabulary
Corner ^npl++++=Corner
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
adapted ^vpsv++agls+xvbnx+=adapted
to ^in++++=to
focus ^nn++++=focus
on ^in++++=on
sounds ^nns++++=sounds
and ^cc++++=and
orality ^nn+++??+=orality
include ^vb++++=include
activities ^nns++++=activities
E ^zz++++=E
and ^cc++++=and
F ^zz++++=F,
 ^zz++++=EXTRAWORD
As ^in++++=as
Illustrated ^nn++++=illustrated
In ^in++++=in
Images ^nns++++=Images
0 ^cd++++=10
And ^cc++++=and
1 ^cd++++=11.
 ^zz++++=EXTRAWORD
