Given ^vbd+++xvbn+=Given
the ^ati++++=the
high ^jj+atrb+++=high
volume ^nn++++=volume
of ^in++++=of
requests ^nns++++=requests
received ^vbd+++xvbn+=received
from ^in++++=from
municipalities ^nns+++??+=municipalities,
, ^zz++++=EXTRAWORD
the ^ati++++=the
offices ^nns++++=offices
establish ^vb+vprv+++=establish
priorities ^nns++++=priorities
by ^in++++=by
balancing ^nn++++=balancing
two ^cd++++=two
main ^jjb+atrb+++=main
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
maximizing ^nn+++??+=maximizing
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
local ^jj+atrb+++=local
partners ^nns++++=partners
who ^whp+rel+obj++=who
benefit ^nn++++=benefit
and ^cc++++=and
ensuring ^vbg+vprv++xvbg+=ensuring
that ^tht+vcmp+++=that
the ^ati++++=the
allocated ^jj+atrb++xvbn+=allocated
resources ^nns++++=resources
are ^vb+ber+vrb++=are
both ^abx++++=both
tangible ^jj++++=tangible
for ^in++++=for
the ^ati++++=the
population ^nn++++=population
and ^cc++++=and
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
support ^vbi++++=support
public ^jj+atrb+++=public
works ^nns++++=works.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interviews ^nns++++=interviews
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
consideration ^nn++++=consideration
is ^vbz+bez+aux++=is
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
the ^ati++++=the
benefits ^nns++++=benefits
have ^vb+hv+vrb++=have
significant ^jj+atrb+++=significant
impact ^nn++++=impact
and ^cc++++=and
visibility ^nn++++=visibility,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
necessitates ^vbz++++=necessitates
allocating ^jj+++xvbg+=allocating
a ^at++++=a
greater ^jjr+atrb+++=greater
volume ^nn++++=volume
of ^in++++=of
resources ^nns++++=resources
to ^in++++=to
larger ^jjr+atrb+++=larger
cities ^nns++++=cities.
. ^zz++++=EXTRAWORD
According ^in++++=According
to ^to++++=to
one ^cd1++++=one
interviewee ^nn+++??+=interviewee,
, ^zz++++=EXTRAWORD
distributing ^jj+atrb++xvbg+=distributing
resources ^nns++++=resources
in ^in++++=in
larger ^jjr+atrb+++=larger
cities ^nns++++=cities
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
the ^ati++++=the
benefits ^nns++++=benefits
being ^vwbg+beg++xvbg+=being
too ^ql++++=too
dispersed ^jj+++xvbn+=dispersed,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
another ^ppls++++=another
interviewee ^jj+++??+=interviewee
noted ^vb+++xvbn+=noted
that ^tht+vcmp+++=that
allocating ^vbg+++xvbg+=allocating
insufficient ^jj+atrb+++=insufficient
resources ^nns++++=resources
to ^in++++=to
a ^at++++=a
large ^jj+atrb+++=large
city ^nn++++=city
may ^md+pos+++=may
lead ^vb++++=lead
to ^in++++=to
criticism ^nn++++=criticism.
. ^zz++++=EXTRAWORD
