Only ^rb+down+++=Only
a ^at++++=a
minority ^nn++++=minority
of ^in++++=of
staff ^nn++++=staff
members ^nns++++=members
were ^vbd+bed+aux++=were
assigned ^vpsv++agls+xvbnx+=assigned
to ^to++++=to
ground ^vbi++++=ground-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
positions ^nns++++=positions,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Carvalho ^np+++??+=Carvalho
( ^zz++++=(2003)
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
regarding ^in++++=regarding
national ^jj+atrb+++=national
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
difference ^nn++++=difference
may ^md+pos+++=may
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
state ^nn++++=state
assemblies ^nns++++=assemblies
are ^vb+ber+vrb++=are
geographically ^rb++++=geographically
closer ^rbr++++=closer
to ^to++++=to
non ^&fw++++=non-capital
- ^zz++++=EXTRAWORD
capital ^nn++++=EXTRAWORD
municipalities ^nns+++??+=municipalities.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
a ^at++++=a
significant ^jj+atrb+++=significant
proportion ^nn++++=proportion
of ^in++++=of
local ^jj+atrb+++=local
requests ^nns++++=requests
pertain ^nn+++??+=pertain
to ^in++++=to
bureaucratic ^jj+atrb+++=bureaucratic
procedures ^nns++++=procedures
involving ^vwbg+++xvbg+=involving
Executive ^nn++++=Executive
branch ^nn++++=branch
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
more ^rbr++++=more
efficient ^jj++++=efficient
to ^to++++=to
retain ^vbi++++=retain
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
staff ^nn++++=staff
at ^in++++=at
the ^ati++++=the
headquarters ^nn++++=headquarters,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
greater ^jjr+atrb+++=greater
access ^nn++++=access
to ^in++++=to
these ^dt+dem+++=these
administrative ^jj+atrb+++=administrative
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
