However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
treatment ^nn++++=treatment
with ^in++++=with
complete ^jj+atrb+++=complete
dentures ^nns++++=dentures
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
successful ^jj++++=successful,
, ^zz++++=EXTRAWORD
with ^in++++=with
dissatisfaction ^nn++++=dissatisfaction
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
approximately ^rb+down+++=approximately
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
to ^to++++=to
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
of ^in++++=of
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
Silva ^np+++??+=Silva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
found ^vb+++xvbn+=found
that ^tht+vcmp+++=that
dissatisfaction ^nn++++=dissatisfaction
may ^md+pos+++=may
affect ^vb++++=affect
an ^at++++=an
even ^rb++++=even
greater ^jjr+atrb+++=greater
proportion ^nn++++=proportion
of ^in++++=of
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
resulting ^jj+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
abandonment ^nn++++=abandonment
of ^in++++=of
dentures ^nns++++=dentures,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
in ^in++++=in
one ^cd1++++=one
participant ^nn++++=participant
of ^in++++=of
their ^pp$+pp3+++=their
study ^nn++++=study.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
interview ^nn++++=interview-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
evaluation ^nn++++=evaluation
of ^in++++=of
twelve ^cd++++=twelve
patients ^nns++++=patients
treated ^vwbn+++xvbn+=treated
with ^in++++=with
complete ^jj+atrb+++=complete
dentures ^nns++++=dentures,
, ^zz++++=EXTRAWORD
three ^cd++++=three
patients ^nns++++=patients
reported ^vbd+vpub++xvbn+=reported
being ^vbg+beg++xvbg+=being
completely ^rb+amp+++=completely
satisfied ^jj+++xvbn+=satisfied,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
nine ^cd++++=nine
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
dissatisfied ^jj++++=dissatisfied.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
dissatisfied ^jj+atrb+++=dissatisfied
group ^nn++++=group,
, ^zz++++=EXTRAWORD
six ^cd++++=six
considered ^vbd+vprv++xvbn+=considered
their ^pp$+pp3+++=their
dentures ^nns++++=dentures
to ^to++++=to
be ^vbi++vrb++=be
generally ^rb+down+++=generally
acceptable ^jj+pred+++=acceptable
but ^cc+phrs+++=but
reported ^jj+atrb++xvbn+=reported
difficulties ^nns++++=difficulties
in ^in++++=in
use ^nn++++=use,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
lower ^jjr+atrb+++=lower
dentures ^nns++++=dentures,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
three ^cd++++=three
were ^vbd+bed+vrb++=were
entirely ^rb+amp+++=entirely
dissatisfied ^jj+pred+++=dissatisfied
and ^cc+phrs+++=and
unable ^jj++++=unable
to ^to+jcmp+++=to
use ^vbi++++=use
the ^ati++++=the
dentures ^nns++++=dentures
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
pain ^vb++++=pain
and ^cc++++=and
concerns ^nns++++=concerns
about ^in++++=about
appearance ^nn++++=appearance.
. ^zz++++=EXTRAWORD
A ^at++++=A
minority ^nn++++=minority
of ^in++++=of
patients ^nns++++=patients
may ^md+pos+++=may
never ^rb++splt++=never
adapt ^vb++++=adapt
to ^in++++=to
mucosa ^nn+++??+=mucosa-supported
- ^zz++++=EXTRAWORD
supported ^xvbn+++xvbn+=EXTRAWORD
dentures ^nns++++=dentures,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
psychological ^jj+atrb+++=psychological
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient
age ^nn++++=age,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
experiences ^nns++++=experiences
with ^in++++=with
dentures ^nns++++=dentures,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
unmet ^nn+++??+=unmet
expectations ^nns++++=expectations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^nvbg+++xvbg+=finding
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
the ^ati++++=the
observation ^nn++++=observation
that ^tht+ncmp+++=that
two ^cd++++=two
patients ^nns++++=patients
were ^vbd+bed+aux++=were
not ^xnot++not++=not
using ^vbg+++xvbg+=using
their ^pp$+pp3+++=their
dentures ^nns++++=dentures
at ^in++++=at
the ^ati++++=the
final ^jj+atrb+++=final
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
patient ^jj++++=patient
assigned ^jj+++xvbn+=assigned
a ^at++++=a
score ^nn++++=score
of ^in++++=of
zero ^cd++++=zero
for ^in++++=for
chewing ^xvbg+++xvbg+=chewing,
, ^zz++++=EXTRAWORD
stability ^nn++++=stability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comfort ^nn++++=comfort
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
dentures ^nns++++=dentures.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
greater ^jjr+atrb+++=greater
tendency ^nn++++=tendency
for ^in++++=for
patients ^nns++++=patients
to ^in++++=to
experience ^nn++++=experience
difficulty ^nn++++=difficulty
adapting ^vbg+++xvbg+=adapting
to ^in++++=to
lower ^jjr+atrb+++=lower
dentures ^nns++++=dentures
compared ^vpsv++agls+xvbn+=compared
to ^in++++=to
upper ^jjb+atrb+++=upper
dentures ^nns++++=dentures.
. ^zz++++=EXTRAWORD
