Nato ^np++++=NATO
s ^zz++++=s
expansion ^nn++++=expansion
into ^in++++=into
Eastern ^jj+atrb+++=Eastern
Europe ^np++++=Europe
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
a ^at++++=a
significant ^jj+atrb+++=significant
factor ^nn++++=factor
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
Russian ^jj+atrb+++=Russian
invasion ^nn++++=invasion
of ^in++++=of
Ukraine ^np++++=Ukraine
( ^zz++++=(Klare,
klare ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
expansion ^nn++++=expansion
has ^vbz+hvz+vrb++=has
elicited ^jj+atrb++??+=elicited
strong ^jj+atrb+++=strong
opposition ^nn++++=opposition
from ^in++++=from
Russia ^np++++=Russia
and ^cc++++=and
is ^vbz+bez+aux++=is
viewed ^vpsv++by+xvbnx+=viewed
by ^in++++=by
some ^dti++++=some
scholars ^nns++++=scholars
as ^in++++=as
a ^at++++=a
violation ^nn++++=violation
of ^in++++=of
assurances ^nns++++=assurances
previously ^rb+tm+++=previously
given ^vpsv++by+xvbn+=given
by ^in++++=by
Western ^jj+atrb+++=Western
leaders ^nns++++=leaders,
, ^zz++++=EXTRAWORD
as ^in++++=as
supported ^nn++++=supported
by ^in++++=by
documentary ^jj+atrb+++=documentary
evidence ^nn++++=evidence
( ^zz++++=(Poch-de-Feliu,
poch ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
feliu ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022;
; ^zz++++=EXTRAWORD
Sarotte ^np+++??+=Sarotte,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
Savranskaya ^np+++??+=Savranskaya
& ^zz++++=&
Blanton ^np+++??+=Blanton,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
analysis ^nn++++=analysis
of ^in++++=of
declassified ^nn+++??+=declassified
documents ^nns++++=documents
from ^in++++=from
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
Soviet ^np++++=Soviet
Union ^nn++++=Union,
, ^zz++++=EXTRAWORD
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
Kingdom ^nn++++=Kingdom,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
France ^np++++=France,
 ^zz++++=EXTRAWORD
Savranskaya ^np++++=Savranskaya
And ^cc++++=and
Blanton ^np++++=Blanton
State ^nn++++=state:
 ^zz++++=EXTRAWORD
