Policy ^nn++++=Policy
statements ^nns++++=statements
function ^nn++++=function
as ^ql++++=as
instruments ^nns++++=instruments
of ^in++++=of
leadership ^nn++++=leadership
for ^in++++=for
German ^jj+atrb+++=German
chancellors ^nns+++??+=chancellors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
increasing ^jj+atrb++xvbg+=increasing
use ^nn++++=use
over ^in++++=over
time ^nn++++=time
reflects ^vbz++++=reflects
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
a ^at++++=a
mediatised ^nn+++??+=mediatised
democracy ^nn++++=democracy.
. ^zz++++=EXTRAWORD
As ^ql++++=As
public ^jj+atrb+++=public
presentations ^nns++++=presentations,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
policy ^nn++++=policy
statements ^nns++++=statements
attract ^vb++++=attract
significant ^jj+atrb+++=significant
media ^nn++++=media
attention ^nn++++=attention
and ^cc++++=and
thereby ^rb++++=thereby
serve ^vb++++=serve
to ^in++++=to
visibly ^rb++++=visibly
associate ^vb++++=associate
government ^nn++++=government
policy ^nn++++=policy
with ^in++++=with
the ^ati++++=the
chancellor ^npt++++=chancellor
( ^zz++++=(Korte,
korte ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
453 ^cd++++=453).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
their ^pp$+pp3+++=their
dual ^jj+atrb+++=dual
role ^nn++++=role
as ^ql++++=as
tools ^nns++++=tools
for ^in++++=for
both ^abx++++=both
public ^jj+atrb+++=public
communication ^nn++++=communication
and ^cc++++=and
internal ^jj+atrb+++=internal
coordination ^nn+++??+=coordination,
, ^zz++++=EXTRAWORD
policy ^nn++++=policy
statements ^nns++++=statements
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
informed ^vpsv++by+xvbnx+=informed
by ^in++++=by
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
sources ^nns++++=sources,
, ^zz++++=EXTRAWORD
including ^in++++=including
scientific ^jj+atrb+++=scientific
research ^nn++++=research,
, ^zz++++=EXTRAWORD
surveys ^nns++++=surveys,
, ^zz++++=EXTRAWORD
contemporary ^nn++++=contemporary
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
perspectives ^nns++++=perspectives;
; ^zz++++=EXTRAWORD
the ^ati++++=the
selection ^nn++++=selection
and ^cc++++=and
integration ^nn++++=integration
of ^in++++=of
these ^dt+dem+++=these
sources ^nns++++=sources
often ^rb++++=often
reflect ^vb+vprv+++=reflect
the ^ati++++=the
individual ^jj+atrb+++=individual
style ^nn++++=style
of ^in++++=of
the ^ati++++=the
chancellor ^npt++++=chancellor
( ^zz++++=(Korte,
korte ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
460 ^cd++++=460
461 ^cd++++=461).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
on ^in++++=on
this ^dt+dem+++=this
genre ^nn++++=genre
within ^in++++=within
German ^jj+atrb+++=German
political ^jj+atrb+++=political
discourse ^nn++++=discourse
has ^vbz+hvz+aux++=has
primarily ^rb+down+splt++=primarily
focused ^vprf+++xvbnx+=focused
on ^in++++=on
inaugural ^jj+atrb+++=inaugural
policy ^nn++++=policy
statements ^nns++++=statements
delivered ^vwbn+++xvbn+=delivered
by ^in++++=by
chancellors ^nns+++??+=chancellors
at ^rb++++=at
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
their ^pp$+pp3+++=their
terms ^nns++++=terms
( ^zz++++=(Barnickel,
barnickel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Busch ^np+++??+=Busch
& ^zz++++=&
Kaupert ^np+++??+=Kaupert,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
St ^npt++++=St
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
analyses ^nns++++=analyses
of ^in++++=of
legitimisation ^nn+++??+=legitimisation
strategies ^nns+++??+=strategies
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
on ^in++++=on
a ^at++++=a
regular ^jj+atrb+++=regular
basis ^nn++++=basis
( ^zz++++=(see,
see ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
reyes ^np++++=Reyes,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
