President ^npt++++=President
Putin ^np+++??+=Putin
frequently ^rb++++=frequently
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
indivisible ^jj+atrb+++=indivisible
security ^nn++++=security;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
current ^jj+atrb+++=current
actions ^nns++++=actions
indicate ^vb+vprv+++=indicate
an ^at++++=an
intention ^nn++++=intention
to ^in+ncmp+++=to
reestablish ^jj+atrb++??+=reestablish
traditional ^jj+atrb+++=traditional
spheres ^nns++++=spheres
of ^in++++=of
influence ^nn++++=influence
in ^in++++=in
europe ^np++++=Europe
through ^in++++=through
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
military ^jj+atrb+++=military
force ^nn++++=force.
. ^zz++++=EXTRAWORD
