Hedychium ^np+++??+=Hedychium
coccineum ^nn+++??+=coccineum
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^rb+down+++=only
species ^nns++++=species
of ^in++++=of
Zingiberales ^np+++??+=Zingiberales
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
cultivated ^vpsv++agls+xvbnx+=cultivated
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
native ^jj+atrb+++=native
distribution ^nn++++=distribution
includes ^vb++++=includes
several ^ap++++=several
Asian ^jj+atrb+++=Asian
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Bhutan ^np+++??+=Bhutan,
, ^zz++++=EXTRAWORD
India ^np++++=India,
, ^zz++++=EXTRAWORD
Laos ^np++++=Laos,
, ^zz++++=EXTRAWORD
Myanmar ^np+++??+=Myanmar,
, ^zz++++=EXTRAWORD
Nepal ^np++++=Nepal,
, ^zz++++=EXTRAWORD
Sri ^np++++=Sri
Lanka ^np+++??+=Lanka,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Thailand ^np+++??+=Thailand
( ^zz++++=(Wongsuwan
wongsuwan ^nn+++??+=EXTRAWORD
& ^zz++++=&
Picheansoonthon ^np+++??+=Picheansoonthon
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
species ^nn++++=species
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Paran ^np+++??+=Paran
, ^zz++++=,
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possibly ^rb++++=possibly
Pernambuco ^np+++??+=Pernambuco
( ^zz++++=(Andr
andr ^nn+++??+=EXTRAWORD
2020c ^cd++++=2020c).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
occurrence ^nn++++=occurrence
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
documented ^vpsv++agls+xvbnx+=documented
in ^in++++=in
the ^ati++++=the
Distrito ^np+++??+=Distrito
Federal ^jj++++=Federal
and ^cc++++=and
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
( ^zz++++=(Pereira
pereira ^nn+++??+=EXTRAWORD
b.a.s ^np++++=B.A.S.
. ^zz++++=EXTRAWORD
163 ^cd++++=163;
; ^zz++++=EXTRAWORD
baptista ^np++++=Baptista
l ^zz++++=L.
. ^zz++++=EXTRAWORD
673 ^cd++++=673).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
