Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
statements ^nns++++=statements
of ^in++++=of
the ^ati++++=the
participants ^nns++++=participants
in ^in++++=in
this ^dt+dem+++=this
category ^nn++++=category
indicate ^vb+vprv+++=indicate
two ^cd++++=two
distinct ^jj+atrb+++=distinct
understandings ^nns++++=understandings
of ^in++++=of
the ^ati++++=the
theme ^nn++++=theme:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
the ^ati++++=the
body ^nn++++=body
culture ^nn++++=culture
of ^in++++=of
movement ^nn++++=movement,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Oliveira ^np+++??+=Oliveira,
, ^zz++++=EXTRAWORD
Martins ^np+++??+=Martins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bracht ^np+++??+=Bracht
( ^zz++++=(2015a),
2015a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
reflected ^vpsv++agls+xvbnx+=reflected
in ^in++++=in
coordinator ^nn+++??+=coordinator
Sofia ^np+++??+=Sofia
s ^zz++++=s
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompasses ^vbz++++=encompasses
games ^nns++++=games,
, ^zz++++=EXTRAWORD
sports ^nns++++=sports,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
playfulness ^nns+++??+=playfulness;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
adopts ^nns+++??+=adopts
a ^at++++=a
more ^rbr++++=more
limited ^jj+atrb++xvbn+=limited
view ^nn++++=view,
, ^zz++++=EXTRAWORD
focusing ^nn+++??+=focusing
primarily ^rb+down+++=primarily
on ^in++++=on
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
as ^in++++=as
mentioned ^nn++++=mentioned
by ^in++++=by
Nara ^np+++??+=Nara,
, ^zz++++=EXTRAWORD
a ^at++++=a
Portuguese ^jj+atrb+++=Portuguese
language ^nn++++=language
teacher ^nn++++=teacher.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
differing ^jj+atrb++xvbg+=differing
perspectives ^nns++++=perspectives,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
additional ^jj+atrb+++=additional
contributing ^jj+atrb++xvbg+=contributing
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
illustrate ^vb++++=illustrate
the ^ati++++=the
complexity ^nn++++=complexity
of ^in++++=of
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
physical ^jj+atrb+++=physical
education ^nn++++=education
and ^cc++++=and
health ^nn++++=health
in ^in++++=in
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
turn ^nn++++=turn
influences ^nns++++=influences
whether ^cs+who+++=whether
pedagogical ^jj+atrb+++=pedagogical
practices ^nns++++=practices
adhere ^vb++++=adhere
to ^in++++=to
traditional ^jj+atrb+++=traditional
models ^nns++++=models
or ^cc++++=or
are ^vb+ber+vrb++=are
more ^rbr++++=more
receptive ^jj+pred+++=receptive
to ^in++++=to
critical ^jj+atrb+++=critical
pedagogical ^jj+atrb+++=pedagogical
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
