Leishmaniases ^np+++??+=Leishmaniases
are ^vb+ber+aux++=are
diseases ^nns++++=diseases
caused ^vwbn+++xvbn+=caused
by ^in++++=by
various ^jj+atrb+++=various
species ^nn++++=species
of ^in++++=of
the ^ati++++=the
protozoan ^nn+++??+=protozoan
parasite ^nn+++??+=parasite
genus ^nns+++??+=genus
Leishmania ^np+++??+=Leishmania,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
transmitted ^vpsv++agls+xvbnx+=transmitted
among ^in++++=among
humans ^nns++++=humans
and ^cc++++=and
wild ^jj+atrb+++=wild
or ^cc+phrs+++=or
domestic ^jj+atrb+++=domestic
vertebrate ^nn+++??+=vertebrate
animals ^nns++++=animals
through ^in++++=through
the ^ati++++=the
bites ^nns++++=bites
of ^in++++=of
blood ^nn++++=blood-feeding
- ^zz++++=EXTRAWORD
feeding ^vbg+++xvbg+=EXTRAWORD
female ^nn++++=female
sand ^nn++++=sand
flies ^nns++++=flies
[ ^zz++++=[1].
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
American ^jj+atrb+++=American
cutaneous ^nns+++??+=cutaneous
leishmaniasis ^nns+++??+=leishmaniasis
( ^zz++++=(ACL)
acl ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
endemic ^jj+pred+++=endemic;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=limited
information ^nn++++=information
is ^vbz+bez+vrb++=is
available ^jj+pred+++=available
regarding ^in++++=regarding
its ^pp$+it+++=its
impact ^nn++++=impact
on ^in++++=on
indigenous ^jj+atrb+++=indigenous
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
residing ^jj+++xvbg+=residing
in ^in++++=in
remote ^jj+atrb+++=remote
areas ^nns++++=areas
with ^in++++=with
minimal ^jj+atrb+++=minimal
contact ^nn++++=contact
with ^in++++=with
non ^&fw++++=non-indigenous
- ^zz++++=EXTRAWORD
indigenous ^jj+atrb+++=EXTRAWORD
individuals ^nns++++=individuals
outside ^jjb++++=outside
their ^pp$+pp3+++=their
territories ^nns++++=territories.
. ^zz++++=EXTRAWORD
To ^to++++=To
investigate ^vbi++++=investigate
the ^ati++++=the
sand ^nn++++=sand
fly ^nn++++=fly
fauna ^nn++++=fauna
associated ^vbd+++xvbn+=associated
with ^in++++=with
Acl ^np+++??+=ACL
outbreaks ^nns++++=outbreaks
among ^in++++=among
the ^ati++++=the
Suruwaha ^np+++??+=Suruwaha
and ^cc++++=and
Waj ^np+++??+=Waj
pi ^zz++++=pi
indigenous ^jj+atrb+++=indigenous
groups ^nns++++=groups
between ^in++++=between
2012 ^cd++++=2012
and ^cc++++=and
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
fieldwork ^nn+++??+=fieldwork
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
collect ^vbi++++=collect
sand ^nn++++=sand
flies ^nns++++=flies
and ^cc++++=and
identify ^vb++++=identify
potential ^jj+atrb+++=potential
vector ^nn++++=vector
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Specimens ^nns++++=Specimens
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
using ^vbg+++xvbg+=using
taxonomic ^nn+++??+=taxonomic
keys ^nns++++=keys
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
[ ^zz++++=[3,4]
3,4 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
by ^in++++=by
experienced ^vbd+++xvbn+=experienced
taxonomists ^nns++++=taxonomists.
. ^zz++++=EXTRAWORD
