Given ^vbd+++xvbn+=Given
this ^dt+dem+++=this
explanation ^nn++++=explanation,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
identifiable ^jj+atrb+++=identifiable
norms ^nns++++=norms
that ^tht+rel+subj++=that
define ^vb++++=define
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
mode ^nn++++=mode.
. ^zz++++=EXTRAWORD
Mode ^nn++++=Mode
can ^md+pos+++=can
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
a ^at++++=a
text ^nn++++=text,
, ^zz++++=EXTRAWORD
a ^at++++=a
process ^nn++++=process,
, ^zz++++=EXTRAWORD
a ^at++++=a
product ^nn++++=product,
, ^zz++++=EXTRAWORD
a ^at++++=a
choice ^nn++++=choice,
, ^zz++++=EXTRAWORD
an ^at++++=an
animate ^nn+++??+=animate
or ^cc++++=or
inanimate ^jj+atrb+++=inanimate
entity ^nn++++=entity,
, ^zz++++=EXTRAWORD
a ^at++++=a
system ^nn++++=system,
, ^zz++++=EXTRAWORD
a ^at++++=a
coherent ^jj+atrb+++=coherent
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
meaningful ^nn++++=meaningful
construct ^vb++++=construct.
. ^zz++++=EXTRAWORD
The ^ati++++=The
classification ^nn++++=classification
of ^in++++=of
mode ^nn++++=mode
as ^in++++=as
text ^nn++++=text
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
meaning ^jj+++xvbg+=meaning-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
entity ^nn++++=entity,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
may ^md+pos+++=may
manifest ^jj++++=manifest
as ^ql++++=as
words ^nns++++=words,
, ^zz++++=EXTRAWORD
images ^nns++++=images,
, ^zz++++=EXTRAWORD
gazes ^nns+++??+=gazes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
elements ^nns++++=elements
prompt ^vb++++=prompt
a ^at++++=a
social ^jj+atrb+++=social
actor ^nn++++=actor
to ^to++++=to
select ^vbi++++=select
the ^ati++++=the
mode ^nn++++=mode
most ^ql+emph+++=most
appropriate ^jj++++=appropriate
for ^in++++=for
a ^at++++=a
given ^jj+atrb++xvbn+=given
semiotic ^nn+++??+=semiotic
system ^nn++++=system.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
notion ^nn++++=notion
of ^in++++=of
choice ^nn++++=choice
connects ^vbz++++=connects
readers ^nns++++=readers
to ^in++++=to
the ^ati++++=the
paradigmatic ^nn+++??+=paradigmatic
perspective ^nn++++=perspective
of ^in++++=of
text ^nn++++=text.
. ^zz++++=EXTRAWORD
The ^ati++++=The
process ^nn++++=process
of ^in++++=of
selection ^nn++++=selection
reflects ^vbz++++=reflects
the ^ati++++=the
method ^nn++++=method
by ^in++++=by
which ^whp+rel+pied++=which
modes ^nns++++=modes
are ^vb+ber+aux++=are
processed ^vpsv++agls+xvbnx+=processed
within ^in++++=within
a ^at++++=a
particular ^jj+atrb+++=particular
context ^nn++++=context.
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
Halliday ^np++++=Halliday
and ^cc++++=and
Matthiessen ^np+++??+=Matthiessen
s ^zz++++=s
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
the ^ati++++=the
paradigmatic ^nn+++??+=paradigmatic
axis ^nn++++=axis
represents ^vbz++++=represents
the ^ati++++=the
communicative ^nn+++??+=communicative
dimension ^nn++++=dimension
of ^in++++=of
what ^wdt+who+++=what
can ^md+pos+++=can
substitute ^vb++++=substitute
for ^in++++=for
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
excluding ^jj+atrb++xvbg+=excluding
unselected ^jj+atrb+++=unselected
options ^nns+++??+=options.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outcome ^nn++++=outcome
of ^in++++=of
paradigmatic ^nn++++=paradigmatic
selection ^nn++++=selection
is ^vbz+bez+aux++=is
realized ^vbd+vprv++xvbn+=realized
in ^in++++=in
the ^ati++++=the
syntagmatic ^jj+atrb+++=syntagmatic
arrangement ^nn++++=arrangement.
. ^zz++++=EXTRAWORD
