Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
" ^zz++++="Dentures
dentures ^nns++++=EXTRAWORD
in ^in++++=in
One ^cd1++++=One
Day ^nn++++=Day/DSEI
Bahia ^np+++??+=Bahia"
" ^zz++++=EXTRAWORD
campaign ^nn++++=campaign
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
over ^in++++=over
a ^at++++=a
five ^cd++++=five-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
period ^nn++++=period.
. ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
dentures ^nns++++=dentures
were ^vbd+bed+aux++=were
fabricated ^vpsv++agls+xvbnx+=fabricated
in ^in++++=in
a ^at++++=a
clinical ^nn++++=clinical
setting ^xvbg+++xvbg+=setting
established ^vwbn+vprv++xvbn+=established
at ^rb++++=at
the ^ati++++=the
Cultural ^jj+atrb+++=Cultural
Center ^np+++??+=Center,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
five ^cd++++=five
pairs ^nns++++=pairs
of ^in++++=of
dentists ^nns++++=dentists
from ^in++++=from
Dsei ^np+++??+=DSEI
Bahia ^np+++??+=Bahia
operated ^vbd+++xvbn+=operated
using ^vbg+++xvbg+=using
portable ^jj+atrb+++=portable
equipment ^nn++++=equipment
and ^cc++++=and
school ^nn++++=school
tables ^nns++++=tables.
. ^zz++++=EXTRAWORD
Laboratory ^nn++++=Laboratory
procedures ^nns++++=procedures
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
by ^in++++=by
two ^cd++++=two
dental ^jj+atrb+++=dental
prosthesis ^nns+++??+=prosthesis
technicians ^nns++++=technicians
working ^vwbg+++xvbg+=working
in ^in++++=in
an ^at++++=an
adjacent ^jj+atrb+++=adjacent
mini ^np++++=mini
laboratory ^nn++++=laboratory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
team ^nn++++=team
also ^rb++++=also
included ^vbd+++xvbn+=included
three ^cd++++=three
indigenous ^jj+atrb+++=indigenous
oral ^jj+atrb+++=oral
health ^nn++++=health
assistants ^nns++++=assistants,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
responsible ^jj+pred+++=responsible
for ^in++++=for
organizing ^vbg+++xvbg+=organizing
the ^ati++++=the
workspace ^nn++++=workspace
and ^cc++++=and
sterilizing ^nn++++=sterilizing
instruments ^nns++++=instruments.
. ^zz++++=EXTRAWORD
