It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
inadequate ^jj+atrb+++=inadequate
management ^nn++++=management
of ^in++++=of
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
characterized ^nn+++??+=characterized
by ^in++++=by
reliance ^nn++++=reliance
solely ^rb++++=solely
on ^in++++=on
anxiolytic ^nn+++??+=anxiolytic
medication ^nn++++=medication
without ^in++++=without
appropriate ^jj+atrb+++=appropriate
psychological ^jj+atrb+++=psychological
monitoring ^nvbg+++xvbg+=monitoring,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
increase ^vb++++=increase
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
adverse ^jj+atrb+++=adverse
reactions ^nns++++=reactions
or ^cc++++=or
dependence ^nn++++=dependence
among ^in++++=among
university ^nn++++=university
students ^nns++++=students,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
exacerbating ^jj+++??+=exacerbating
both ^abx++++=both
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
outcomes ^nns+++??+=outcomes
in ^in++++=in
this ^dt+dem+++=this
population ^nn++++=population
( ^zz++++=(Morcerf
morcerf ^nn++++=EXTRAWORD
& ^zz++++=&
acero ^np++++=Acero,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
