Some ^dti++++=Some
mayors ^npts++++=mayors
attribute ^vb++++=attribute
the ^ati++++=the
eventual ^jj+atrb+++=eventual
shift ^nn++++=shift
in ^in++++=in
political ^jj+atrb+++=political
alignment ^nn++++=alignment
to ^in++++=to
changes ^nns++++=changes
in ^in++++=in
local ^jj+atrb+++=local
political ^jj+atrb+++=political
dynamics ^nn++++=dynamics
or ^cc++++=or
to ^in++++=to
modifications ^nns++++=modifications
in ^in++++=in
party ^nn++++=party
electoral ^jj+atrb+++=electoral
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
issue ^nn++++=issue
of ^in++++=of
exclusivity ^nn+++??+=exclusivity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interviews ^nns++++=interviews
revealed ^vbd+vprv++xvbn+=revealed
divergent ^jj+atrb+++=divergent
viewpoints ^nns++++=viewpoints.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
interviewee ^vb+++??+=interviewee
argued ^vbd+vpub++xvbn+=argued
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
appropriate ^jj++++=appropriate
for ^in++++=for
mayors ^npts++++=mayors
to ^to++++=to
maintain ^vbi+vpub+++=maintain
loyalty ^nn++++=loyalty
to ^in++++=to
a ^at++++=a
single ^jj+atrb+++=single
state ^nn++++=state
legislator ^nn++++=legislator.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
other ^ap++++=other
respondents ^nns++++=respondents
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
diversifying ^jj+atrb+++=diversifying
alliances ^nns++++=alliances
is ^vbz+bez+vrb++=is
a ^at++++=a
viable ^jj+atrb+++=viable
option ^nn++++=option,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
the ^ati++++=the
allied ^jj+atrb++xvbn+=allied
legislator ^nn++++=legislator
is ^vbz+bez+vrb++=is
in ^in++++=in
opposition ^nn++++=opposition
to ^in++++=to
the ^ati++++=the
state ^nn++++=state
governor ^npt++++=governor
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
has ^vbz+hvz+aux++=has
reduced ^vprf+++xvbnx+=reduced
access ^nn++++=access
to ^in++++=to
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
a ^at++++=a
pattern ^nn++++=pattern
also ^rb++++=also
identified ^vpsv++by+xvbn+=identified
by ^in++++=by
bezerra ^np++++=Bezerra
( ^zz++++=(1999).
1999 ^cd+date+++=EXTRAWORD
). ^nn++++=EXTRAWORD
