Robust ^jj+atrb+++=Robust
herbaceous ^jj+atrb+++=herbaceous
plant ^nn++++=plant,
, ^zz++++=EXTRAWORD
2 ^zz++++=2
3 ^zz++++=3
m ^zz++++=m
tall ^jj++++=tall.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
distichous ^nns+++??+=distichous,
, ^zz++++=EXTRAWORD
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
4 ^zz++++=4
6 ^zz++++=6
per ^nnu++++=per
pseudostem ^nn+++??+=pseudostem;
; ^zz++++=EXTRAWORD
ligule ^nn+++??+=ligule
absent ^jj++++=absent;
; ^zz++++=EXTRAWORD
petiole ^nn+++??+=petiole
1.13 ^cd++++=1.13
1.36 ^cd++++=1.36
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
pulvinus ^nns+++??+=pulvinus
absent ^jj++++=absent;
; ^zz++++=EXTRAWORD
blade ^nn++++=blade
47.5 ^cd++++=47.5
67.5 ^cd++++=67.5
18 ^cd++++=18
27 ^cd++++=27
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acute ^jj++++=acute
to ^in++++=to
acuminate ^nn+++??+=acuminate,
, ^zz++++=EXTRAWORD
base ^nn++++=base
obtuse ^jj++++=obtuse,
, ^zz++++=EXTRAWORD
predominantly ^rb++++=predominantly
lacerated ^jj+++??+=lacerated
and ^cc+phrs+++=and
asymmetric ^jj++++=asymmetric,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
prominent ^jj+atrb+++=prominent
central ^jj+atrb+++=central
vein ^nn++++=vein
on ^in++++=on
the ^ati++++=the
abaxial ^nn+++??+=abaxial
surface ^nn++++=surface
and ^cc++++=and
canaliculate ^nn+++??+=canaliculate
on ^in++++=on
the ^ati++++=the
adaxial ^nn+++??+=adaxial
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
green ^nn++++=green
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces.
. ^zz++++=EXTRAWORD
Inflorescence ^np+++??+=Inflorescence
terminal ^jj++++=terminal,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
22.4 ^cd++++=22.4
34 ^cd++++=34
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
rachis ^nns+++??+=rachis
red ^jj++++=red,
, ^zz++++=EXTRAWORD
thyrsoid ^nn+++??+=thyrsoid-cincinnate,
- ^zz++++=EXTRAWORD
cincinnate ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
with ^in++++=with
visible ^jj+atrb+++=visible
internodes ^nns+++??+=internodes
1 ^zz++++=1
4 ^zz++++=4
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
bracts ^nns+++??+=bracts
6 ^zz++++=6
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
distichous ^nns+++??+=distichous,
, ^zz++++=EXTRAWORD
internally ^rb++++=internally
green ^jj++++=green,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
red ^jj++++=red,
, ^zz++++=EXTRAWORD
externally ^rb++++=externally
red ^jj++++=red,
, ^zz++++=EXTRAWORD
becoming ^vbg+++xvbg+=becoming
yellowish ^jj++++=yellowish
and ^cc++++=and
slightly ^rb+down+++=slightly
greenish ^jj++++=greenish
at ^in++++=at
the ^ati++++=the
apex ^nn++++=apex,
, ^zz++++=EXTRAWORD
conspicuous ^jj++++=conspicuous,
, ^zz++++=EXTRAWORD
boat ^nn++++=boat-shaped,
- ^zz++++=EXTRAWORD
shaped ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
persistent ^jj++++=persistent,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acuminate ^nn+++??+=acuminate,
, ^zz++++=EXTRAWORD
base ^nn++++=base
slightly ^rb+down+++=slightly
auriculate ^jj+++??+=auriculate,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lower ^jjr+atrb+++=lower
bracts ^nns+++??+=bracts
generally ^rb+down+++=generally
more ^rbr++++=more
foliose ^nn+++??+=foliose,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
fertile ^jj++++=fertile
or ^cc+phrs+++=or
sterile ^jj++++=sterile;
; ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
fertile ^jj+atrb+++=fertile
basal ^jj+atrb+++=basal
bracts ^nns+++??+=bracts
12 ^cd++++=12
16 ^cd++++=16
2 ^zz++++=2
3 ^zz++++=3
cm ^nnu++++=cm
at ^in++++=at
the ^ati++++=the
base ^nn++++=base,
, ^zz++++=EXTRAWORD
narrowing ^vbg+++xvbg+=narrowing
toward ^in++++=toward
the ^ati++++=the
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
Flowers ^nns++++=Flowers
arranged ^vwbn+vsua++xvbn+=arranged
in ^in++++=in
fascicles ^nns+++??+=fascicles
at ^rb++++=at
the ^ati++++=the
internal ^jj+atrb+++=internal
base ^nn++++=base
of ^in++++=of
bracts ^nns+++??+=bracts,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^ap+down+++=only
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
perianth ^nn+++??+=perianth
visible ^jj++++=visible,
, ^zz++++=EXTRAWORD
pedicellate ^nn+++??+=pedicellate,
, ^zz++++=EXTRAWORD
6 ^zz++++=6
16 ^cd++++=16
in ^in++++=in
the ^ati++++=the
lower ^jjr+atrb+++=lower
fascicle ^nn+++??+=fascicle,
, ^zz++++=EXTRAWORD
decreasing ^jj+++xvbg+=decreasing
in ^in++++=in
number ^nn++++=number
toward ^in++++=toward
the ^ati++++=the
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
bracteoles ^nns+++??+=bracteoles
white ^jj++++=white,
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
greenish ^jj++++=greenish
or ^cc+phrs+++=or
reddish ^jj++++=reddish,
, ^zz++++=EXTRAWORD
ovate ^nn+++??+=ovate-lanceolate,
- ^zz++++=EXTRAWORD
lanceolate ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
marked ^jj+atrb++xvbn+=marked
median ^jjb+atrb+++=median
vein ^nn++++=vein,
, ^zz++++=EXTRAWORD
2 ^zz++++=2
2.3 ^cd++++=2.3
1 ^zz++++=1
1.5 ^cd++++=1.5
cm ^nnu++++=cm
at ^in++++=at
the ^ati++++=the
base ^nn++++=base;
; ^zz++++=EXTRAWORD
pedicels ^nns+++??+=pedicels
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
0.8 ^nn+++??+=0.8
1 ^zz++++=1
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
longer ^rbr++++=longer
in ^in++++=in
fruit ^nn++++=fruit;
; ^zz++++=EXTRAWORD
perianth ^jj+++??+=perianth
bent ^xvbn+++xvbn+=bent,
, ^zz++++=EXTRAWORD
4 ^zz++++=4
4.5 ^cd++++=4.5
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
sepals ^nns+++??+=sepals
boat ^nn++++=boat-shaped,
- ^zz++++=EXTRAWORD
shaped ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=upper
sepal ^nn+++??+=sepal
free ^jj++++=free
to ^to+jcmp+++=to
the ^ati++++=the
base ^nn++++=base,
, ^zz++++=EXTRAWORD
lower ^jjr+atrb+++=lower
sepals ^nns+++??+=sepals
connate ^nn+++??+=connate,
, ^zz++++=EXTRAWORD
green ^jj++++=green-yellowish
- ^zz++++=EXTRAWORD
yellowish ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
yellow ^jj++++=yellow;
; ^zz++++=EXTRAWORD
labellum ^nn+++??+=labellum
absent ^jj++++=absent;
; ^zz++++=EXTRAWORD
staminode ^nn+++??+=staminode
lanceolate ^nn+++??+=lanceolate,
, ^zz++++=EXTRAWORD
0.8 ^nn+++??+=0.8
1.2 ^cd++++=1.2
0.1 ^nn+++??+=0.1
0.2 ^nn+++??+=0.2
cm ^nnu++++=cm
at ^in++++=at
the ^ati++++=the
base ^nn++++=base,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acuminate ^nn+++??+=acuminate;
; ^zz++++=EXTRAWORD
stamen ^nn+++??+=stamen
with ^in++++=with
partially ^rb+down+++=partially
exserted ^nn+++??+=exserted
anther ^nn+++??+=anther
at ^rb++++=at
maturity ^nn++++=maturity,
, ^zz++++=EXTRAWORD
1.1 ^cd++++=1.1
1.4 ^cd++++=1.4
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
cream ^nn++++=cream-colored
- ^zz++++=EXTRAWORD
colored ^nn+++??+=EXTRAWORD
when ^wrb+who+++=when
newly ^rb++++=newly
formed ^jj+++xvbn+=formed;
; ^zz++++=EXTRAWORD
filament ^nn++++=filament
2.8 ^cd++++=2.8
3.5 ^cd++++=3.5
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
white ^jj++++=white;
; ^zz++++=EXTRAWORD
style ^nn++++=style
3.5 ^cd++++=3.5
4.5 ^cd++++=4.5
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
angular ^jj++++=angular,
, ^zz++++=EXTRAWORD
cream ^nn++++=cream-colored;
- ^zz++++=EXTRAWORD
colored ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
stigma ^nn++++=stigma
0.1 ^nn+++??+=0.1
0.1 ^nn+++??+=0.1
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
ovary ^nn+++??+=ovary
approximately ^rb+down+++=approximately
1 ^zz++++=1
0.5 ^nn+++??+=0.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
white ^jj++++=white-greenish;
- ^zz++++=EXTRAWORD
greenish ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
one ^cd1++++=one
ovule ^nn+++??+=ovule
per ^nnu++++=per
locule ^nn+++??+=locule.
. ^zz++++=EXTRAWORD
Fruit ^nn++++=Fruit
a ^at++++=a
drupe ^nn+++??+=drupe,
, ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
2 ^zz++++=2
1 ^zz++++=1
1.3 ^cd++++=1.3
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
triangular ^jj++++=triangular,
, ^zz++++=EXTRAWORD
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
blue ^jj++++=blue
at ^rb++++=at
maturity ^nn++++=maturity.
. ^zz++++=EXTRAWORD
Seeds ^nns++++=Seeds
3 ^zz++++=3
per ^in++++=per
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
0.8 ^nn+++??+=0.8
1 ^zz++++=1
0.4 ^nn+++??+=0.4
0.8 ^nn+++??+=0.8
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
brown ^np++++=brown-greenish;
- ^zz++++=EXTRAWORD
greenish ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
aril ^nn++++=aril
absent ^jj++++=absent.
. ^zz++++=EXTRAWORD
