By ^in++++=By
mid ^jjb++++=mid-October
- ^zz++++=EXTRAWORD
october ^nr++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
situation ^nn++++=situation
in ^in++++=in
Manaus ^np+++??+=Manaus
in ^in++++=in
late ^jj++++=late
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=Indian
officials ^nns++++=officials
speculated ^vbd+++xvbn+=speculated
that ^tht+vcmp+++=that
urban ^jj+atrb+++=urban
areas ^nns++++=areas
in ^in++++=in
India ^np++++=India
were ^vbd+bed+aux++=were
nearing ^vbg+++xvbgx+=nearing
herd ^nn++++=herd
immunity ^nn++++=immunity
and ^cc++++=and
anticipated ^vbd+vprv+tht0+xvbn+=anticipated
a ^at++++=a
subsequent ^nn++++=subsequent
decline ^vb++++=decline
in ^in++++=in
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
new ^jj+atrb+++=new
cases ^nns++++=cases
had ^vbd+hvd+aux++=had
decreased ^vprf+++xvbnx+=decreased
by ^in++++=by
the ^ati++++=the
first ^rb++++=first
half ^abn++++=half
of ^in++++=of
February ^nr++++=February
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
transmission ^nn++++=transmission
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
fully ^rb+amp+++=fully
controlled ^jj+++xvbn+=controlled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
second ^od++++=second
wave ^nn++++=wave
was ^vbd+bedz+vrb++=was
imminent ^jj+pred+++=imminent.
. ^zz++++=EXTRAWORD
Concurrently ^np+++??+=Concurrently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
national ^jj+atrb+++=national
immunization ^nn+++??+=immunization
campaign ^nn++++=campaign
was ^vbd+bedz+aux++=was
launched ^vpsv++agls+xvbnx+=launched
under ^in++++=under
the ^ati++++=the
assumption ^nn++++=assumption
that ^tht+ncmp+++=that
herd ^nn++++=herd
immunity ^nn++++=immunity
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
achieved ^vpsv++agls+xvbnx+=achieved,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
belief ^nn++++=belief
that ^tht+ncmp+++=that
over ^rp++++=over
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
some ^dti++++=some
level ^nn++++=level
of ^in++++=of
immunity ^nn++++=immunity
through ^in++++=through
prior ^jj+atrb+++=prior
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reducing ^vbg+++xvbg+=reducing
the ^ati++++=the
perceived ^jj+atrb++xvbn+=perceived
need ^nn++++=need
for ^in++++=for
widespread ^jj+atrb+++=widespread
vaccination ^nn++++=vaccination
in ^in++++=in
this ^dt+dem+++=this
group ^nn++++=group.
. ^zz++++=EXTRAWORD
On ^in++++=On
January ^nr++++=January
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
two ^cd++++=two
vaccines ^nns++++=vaccines
received ^vbd+++xvbn+=received
approval ^nn++++=approval:
: ^zz++++=EXTRAWORD
Covaxin ^np+++??+=Covaxin,
, ^zz++++=EXTRAWORD
developed ^xvbn+++xvbn+=developed
by ^in++++=by
Bharat ^np+++??+=Bharat
Biotech ^np+++??+=Biotech,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Covishield ^np+++??+=Covishield,
, ^zz++++=EXTRAWORD
produced ^xvbn+++xvbn+=produced
by ^in++++=by
the ^ati++++=the
Serum ^nn++++=Serum
Institute ^nn++++=Institute
of ^in++++=of
India ^np++++=India
in ^in++++=in
collaboration ^nn++++=collaboration
with ^in++++=with
Astrazeneca ^np+++??+=AstraZeneca
and ^cc++++=and
Oxford ^np++++=Oxford
University ^nn++++=University.
. ^zz++++=EXTRAWORD
The ^ati++++=The
national ^jj+atrb+++=national
vaccination ^nn++++=vaccination
program ^vb+++??+=program
faced ^vbd+++xvbn+=faced
several ^ap++++=several
ethical ^jj++++=ethical,
, ^zz++++=EXTRAWORD
legal ^jj++++=legal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transparency ^nn++++=transparency
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
vaccine ^nn++++=vaccine
hesitancy ^nn++++=hesitancy
