It ^pp3+it+++=It
is ^vbz+bez+aux++=is
challenging ^vbg+++xvbgx+=challenging
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
provide ^vbi+vsua+++=provide
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
response ^nn++++=response
as ^ql++++=as
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
unprepared ^jj++++=unprepared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
comments ^nns++++=comments
may ^md+pos+++=may
seem ^vb+seem+++=seem
self ^nn++++=self-evident.
- ^zz++++=EXTRAWORD
evident ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
physical ^jj+atrb+++=physical
education ^nn++++=education
( ^zz++++=(PE),
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
recognize ^vbi+vprv+++=recognize
that ^tht+vcmp+++=that
it ^pp3+it+++=it
extends ^vbz++++=extends
beyond ^in++++=beyond
the ^ati++++=the
undergraduate ^nn++++=undergraduate
curriculum ^nn++++=curriculum
and ^cc++++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
broader ^jjr+atrb+++=broader
health ^nn++++=health
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
during ^in++++=during
our ^pp$+pp1+++=our
planning ^nvbg+++xvbg+=planning,
, ^zz++++=EXTRAWORD
a ^at++++=a
philosophy ^nn++++=philosophy
teacher ^nn++++=teacher
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
specialist ^nn++++=specialist
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
suggested ^vbd+vpub++xvbn+=suggested
reintroducing ^nn+++??+=reintroducing
practices ^nns++++=practices
from ^in++++=from
previous ^jj+atrb+++=previous
years ^nns++++=years,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
administering ^jj+atrb++xvbg+=administering
vaccines ^nns++++=vaccines
to ^in++++=to
students ^nns++++=students
within ^in++++=within
the ^ati++++=the
school ^nn++++=school
setting ^vwbg+++xvbg+=setting
rather ^rb++++=rather
than ^in++++=than
relying ^nn++++=relying
on ^in++++=on
parents ^nns++++=parents
to ^to++++=to
take ^vbi++++=take
their ^pp$+pp3+++=their
children ^nns++++=children
to ^in++++=to
health ^nn++++=health
facilities ^nns++++=facilities,
, ^zz++++=EXTRAWORD
as ^ql++++=as
parents ^nns++++=parents
often ^rb++++=often
do ^vb+do+aux++=do
not ^xnot++not++=not
do ^vb+do+vrb++=do
so ^rb++++=so.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
raises ^vbz++++=raises
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
why ^wrb+who+++=why
health ^nn++++=health
departments ^nns++++=departments
do ^vb+do+aux++=do
not ^xnot++not++=not
collaborate ^vb++++=collaborate
more ^rbr++++=more
directly ^rb++++=directly
with ^in++++=with
schools ^nns++++=schools
to ^to++++=to
provide ^vbi+vsua+++=provide
such ^abl++++=such
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
initiatives ^nns+++??+=initiatives
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
implemented ^vpsv++by+xvbnx+=implemented
by ^in++++=by
the ^ati++++=the
city ^npl++++=city
s ^zz++++=s
dental ^jj+atrb+++=dental
department ^nn++++=department,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
conducted ^vprf+++xvbnx+=conducted
educational ^jj+atrb+++=educational
activities ^nns++++=activities
on ^in++++=on
oral ^jj+atrb+++=oral
hygiene ^nn++++=hygiene,
, ^zz++++=EXTRAWORD
including ^in++++=including
supervised ^nn++++=supervised
brushing ^vwbg+++xvbg+=brushing
with ^in++++=with
fluoride ^nn++++=fluoride.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
comparable ^jj+atrb+++=comparable
health ^nn++++=health
interventions ^nns++++=interventions
within ^in++++=within
schools ^nns++++=schools
would ^md+prd+++=would
also ^rb++++=also
be ^vb+be+vrb++=be
feasible ^jj+pred+++=feasible
and ^cc+phrs+++=and
beneficial ^jj++++=beneficial.
. ^zz++++=EXTRAWORD
