Twenty ^cd++++=Twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
articles ^nns++++=articles
( ^zz++++=(37.1%)
37.1 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
recommended ^vbd+vsua++xvbn+=recommended
non ^&fw++++=non-adherent
- ^zz++++=EXTRAWORD
adherent ^nn+++??+=EXTRAWORD
dressings ^nns++++=dressings
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
pain ^nn++++=pain
associated ^vbd+++xvbn+=associated
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
( ^zz++++=(MFWs).
mfws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies
comprised ^vbd+++xvbn+=comprised
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
( ^zz++++=(65.3%),
65.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
case ^nn++++=case
studies ^nns++++=studies
( ^zz++++=(19.8%),
19.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
( ^zz++++=(3.8%),
3.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
guideline ^nn+++??+=guideline
( ^zz++++=(3.8%),
3.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
prospective ^jj+atrb+++=prospective
cohort ^nn++++=cohort
studies ^nns++++=studies
( ^zz++++=(3.8%),
3.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
survey ^nn++++=survey
( ^zz++++=(3.8%).
3.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
25 ^cd++++=25
studies ^nns++++=studies
( ^zz++++=(35.7%),
35.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
pain ^nn++++=pain
management ^nn++++=management
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
identified ^vbd+++xvbn+=identified
as ^ql++++=as
a ^at++++=a
primary ^jj+atrb+++=primary
objective ^nn++++=objective.
. ^zz++++=EXTRAWORD
All ^abn++++=All
studies ^nns++++=studies
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
non ^&fw++++=non-adherent
- ^zz++++=EXTRAWORD
adherent ^nn+++??+=EXTRAWORD
dressings ^nns++++=dressings
in ^in++++=in
combination ^nn++++=combination
with ^in++++=with
other ^ap++++=other
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
opioids ^nns+++??+=opioids,
, ^zz++++=EXTRAWORD
anesthetics ^nns+++??+=anesthetics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
antiseptics ^nns++++=antiseptics.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
described ^vbd+++xvbn+=described
a ^at++++=a
standardized ^nn+++??+=standardized
protocol ^nn++++=protocol
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
non ^&fw++++=non-adherent
- ^zz++++=EXTRAWORD
adherent ^nn+++??+=EXTRAWORD
dressings ^nns++++=dressings
or ^cc++++=or
reported ^vbd+vpub++xvbn+=reported
pain ^nn++++=pain-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
outcomes ^nns++++=outcomes
attributable ^jj++++=attributable
to ^to++++=to
non ^&fw++++=non-adherent
- ^zz++++=EXTRAWORD
adherent ^nn++++=EXTRAWORD
dressings ^nns++++=dressings
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
