Given ^vbd+++xvbn+=Given
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
research ^nn++++=research
in ^in++++=in
Brazil ^np++++=Brazil
on ^in++++=on
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
anxiety ^nn++++=anxiety
and ^cc++++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
anxiolytic ^nn+++??+=anxiolytic
medications ^nns+++??+=medications,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
among ^in++++=among
university ^nn++++=university
students ^nns++++=students
in ^in++++=in
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
fields ^nns++++=fields
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
actively ^rb++splt++=actively
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
the ^ati++++=the
healthcare ^nn+++??+=healthcare
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
article ^nn++++=article
aims ^vb++++=aims
to ^to+vcmp+++=to
contribute ^vbi++++=contribute
to ^in++++=to
the ^ati++++=the
literature ^nn++++=literature
by ^in++++=by
analyzing ^nn+++??+=analyzing
the ^ati++++=the
correlation ^nn++++=correlation
between ^in++++=between
anxiety ^nn++++=anxiety
levels ^nns++++=levels
and ^cc++++=and
anxiolytic ^nn++++=anxiolytic
use ^nn++++=use
among ^in++++=among
university ^nn++++=university
students ^nns++++=students
in ^in++++=in
health ^nn++++=health
disciplines ^nns++++=disciplines.
. ^zz++++=EXTRAWORD
