Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
brokers ^nns++++=brokers
who ^whp+rel+subj++=who
hold ^vb+vprv+++=hold
elected ^vbd+++xvbn+=elected
office ^nn++++=office
serve ^vb++++=serve
as ^in++++=as
important ^jj+atrb+++=important
supporters ^nns++++=supporters
of ^in++++=of
state ^nn++++=state
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
studies ^nns++++=studies
on ^in++++=on
brokers ^nns++++=brokers
do ^vb+do+aux++=do
not ^xnot++not++=not
differentiate ^vb++++=differentiate
between ^in++++=between
elected ^jj+++xvbn+=elected
and ^cc++++=and
non ^&fw++++=non-elected
- ^zz++++=EXTRAWORD
elected ^jj+atrb++xvbn+=EXTRAWORD
mediators ^nns+++??+=mediators.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^nns++++=remains
unclear ^nn+++??+=unclear
whether ^cs+who+++=whether
the ^ati++++=the
findings ^nns++++=findings
and ^cc++++=and
conclusions ^nns++++=conclusions
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
are ^vb+ber+vrb++=are
equally ^rb++++=equally
applicable ^jj+pred+++=applicable
to ^in++++=to
individuals ^nns++++=individuals
with ^in++++=with
and ^cc++++=and
without ^in++++=without
elective ^nn++++=elective
mandates ^nns++++=mandates.
. ^zz++++=EXTRAWORD
