Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
considerations ^nns++++=considerations,
, ^zz++++=EXTRAWORD
initial ^jj+atrb+++=initial
evidence ^nn++++=evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
intervention ^nn++++=intervention
approaches ^vbz++++=approaches
implemented ^vbd+++xvbn+=implemented
in ^in++++=in
groups ^nns++++=groups
A ^at++++=A
and ^cc++++=and
B ^zz++++=B
may ^md+pos+++=may
influence ^vb++++=influence
the ^ati++++=the
development ^nn++++=development
and ^cc++++=and
promotion ^nn++++=promotion
of ^in++++=of
cognitive ^nn+++??+=cognitive
attitudes ^nns++++=attitudes
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
phenomena ^nns++++=phenomena.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
remains ^vbz++++=remains
a ^at++++=a
preliminary ^jj+atrb+++=preliminary
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
requires ^vbz++++=requires
further ^jjb+atrb+++=further
investigation ^nn++++=investigation
to ^to++++=to
gather ^vbi+vprv+++=gather
additional ^jj+atrb+++=additional
supporting ^jj+atrb++xvbg+=supporting
data ^nns++++=data,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
also ^rb++++=also
considering ^cs+sub+++=considering
potential ^jj+atrb+++=potential
alternative ^jj+atrb+++=alternative
explanations ^nns++++=explanations.
. ^zz++++=EXTRAWORD
