However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
for ^in++++=for
this ^dt+dem+++=this
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
health ^nn++++=health
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
in ^in++++=in
isolation ^nn++++=isolation
by ^in++++=by
either ^dtx++++=either
the ^ati++++=the
physical ^jj+atrb+++=physical
education ^nn++++=education
curriculum ^nn++++=curriculum
or ^cc++++=or
the ^ati++++=the
school ^nn++++=school
as ^ql++++=as
a ^at++++=a
whole ^nn++++=whole.
. ^zz++++=EXTRAWORD
Addressing ^vbg+++xvbg+=Addressing
health ^nn++++=health
is ^vbz+bez+vrb++=is
a ^at++++=a
complex ^jj+atrb+++=complex
task ^nn++++=task
that ^tht+rel+subj++=that
requires ^vbz++++=requires
coordination ^nn+++??+=coordination
among ^in++++=among
all ^abn++++=all
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
community ^nn++++=community,
, ^zz++++=EXTRAWORD
including ^in++++=including
parents ^nns++++=parents
or ^cc++++=or
guardians ^nns++++=guardians,
, ^zz++++=EXTRAWORD
neighborhood ^nn+++??+=neighborhood
leaders ^nns++++=leaders,
, ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
health ^nn++++=health
units ^nns++++=units,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
relevant ^jj+atrb+++=relevant
stakeholders ^nns++++=stakeholders.
. ^zz++++=EXTRAWORD
