Based ^xvbn+++xvbn+=Based
on ^in++++=on
our ^pp$+pp1+++=our
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
emphasize ^vb++++=emphasize
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
further ^jjb+atrb+++=further
research ^nn++++=research
in ^in++++=in
several ^ap++++=several
areas ^nns++++=areas:
: ^zz++++=EXTRAWORD
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
the ^ati++++=the
differences ^nns++++=differences
between ^in++++=between
local ^jj+atrb+++=local
brokers ^nns++++=brokers
who ^whp+rel+obj++=who
hold ^nn++++=hold
elective ^nn+++??+=elective
mandates ^nns+++??+=mandates
and ^cc++++=and
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
do ^vb+do+vrb++=do
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
between ^in++++=between
state ^nn++++=state
and ^cc++++=and
national ^jj+atrb+++=national
representatives ^nns++++=representatives
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
their ^pp$+pp3+++=their
local ^jj+atrb+++=local
connections ^nns++++=connections;
; ^zz++++=EXTRAWORD
( ^zz++++=(ii)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
analyzing ^nn+++??+=analyzing
both ^abx++++=both
the ^ati++++=the
distinctions ^nns++++=distinctions
and ^cc++++=and
relationships ^nns++++=relationships
between ^in++++=between
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
intermediation ^nn+++??+=intermediation
that ^tht+rel+subj++=that
occur ^vb++++=occur
during ^in++++=during
electoral ^jj+atrb+++=electoral
campaigns ^nns++++=campaigns
and ^cc++++=and
those ^dt+dem+++=those
that ^dt+pdem+++=that
persist ^vb++++=persist
beyond ^in++++=beyond
the ^ati++++=the
electoral ^jj+atrb+++=electoral
period ^nn++++=period;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(iii)
iii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
investigating ^vbg+++xvbg+=investigating
alternative ^jj+atrb+++=alternative
methods ^nns++++=methods
of ^in++++=of
broker ^nn++++=broker
selection ^nn++++=selection
beyond ^in++++=beyond
political ^jj+atrb+++=political
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
primary ^jj+atrb+++=primary
focus ^nn++++=focus
in ^in++++=in
studies ^nns++++=studies
of ^in++++=of
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
context ^nn++++=context.
. ^zz++++=EXTRAWORD
