The ^ati++++=The
primary ^jj+atrb+++=primary
function ^nn++++=function
of ^in++++=of
gestures ^nns++++=gestures
is ^vbz+bez+aux++=is
to ^to++++=to
facilitate ^vbi++++=facilitate
communication ^nn++++=communication;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
gestures ^nns++++=gestures
also ^rb++++=also
play ^vb++++=play
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
cognitive ^nn+++??+=cognitive
processes ^nns++++=processes
such ^abl++++=such
as ^ql++++=as
thinking ^nvbg+vprv++xvbg+=thinking,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
language ^nn++++=language
comprehension ^nn++++=comprehension.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
merely ^rb+down+++=merely
clarifying ^vbg+++xvbg+=clarifying
or ^cc+phrs+++=or
enhancing ^vbg+++xvbg+=enhancing
the ^ati++++=the
content ^nn++++=content
of ^in++++=of
a ^at++++=a
message ^nn++++=message,
, ^zz++++=EXTRAWORD
gestures ^nns++++=gestures
can ^md+pos+++=can
contribute ^vb++++=contribute
to ^in++++=to
students ^nns++++=students'
' ^zz++++=EXTRAWORD
understanding ^nvbg+++xvbg+=understanding
and ^cc++++=and
support ^nn++++=support
conceptual ^jj+atrb+++=conceptual
development ^nn++++=development,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
constitutes ^vbz++++=constitutes
the ^ati++++=the
main ^jjb+atrb+++=main
focus ^nn++++=focus
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research
( ^zz++++=(Chu
chu ^nn++++=EXTRAWORD
& ^zz++++=&
kita ^np++++=Kita,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
