Pseudostem ^np+++??+=Pseudostem
1 ^zz++++=1
2 ^zz++++=2
m ^zz++++=m
tall ^jj++++=tall.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
with ^in++++=with
striated ^nn+++??+=striated
sheaths ^nns+++??+=sheaths;
; ^zz++++=EXTRAWORD
ligule ^nn+++??+=ligule
truncate ^nn+++??+=truncate,
, ^zz++++=EXTRAWORD
0.1 ^nn+++??+=0.1
0.25 ^nn+++??+=0.25
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown;
; ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
subsessile ^nn+++??+=subsessile;
; ^zz++++=EXTRAWORD
pulvinus ^nns+++??+=pulvinus
absent ^jj++++=absent;
; ^zz++++=EXTRAWORD
blade ^nn++++=blade
narrowly ^rb++++=narrowly
elliptic ^jj++++=elliptic,
, ^zz++++=EXTRAWORD
13 ^cd++++=13
54.4 ^cd++++=54.4
3.5 ^cd++++=3.5
12.5 ^cd++++=12.5
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
apex ^nn++++=apex
acuminate ^nn+++??+=acuminate,
, ^zz++++=EXTRAWORD
base ^nn++++=base
cuneate ^nn+++??+=cuneate,
, ^zz++++=EXTRAWORD
both ^abx++++=both
surfaces ^nns++++=surfaces
glabrous ^nns+++??+=glabrous.
. ^zz++++=EXTRAWORD
Inflorescence ^np+++??+=Inflorescence
a ^at++++=a
basal ^jj+atrb+++=basal
raceme ^nn+++??+=raceme
on ^in++++=on
aphyllous ^nns+++??+=aphyllous
scapes ^nns+++??+=scapes,
, ^zz++++=EXTRAWORD
3 ^zz++++=3
7.2 ^cd++++=7.2
3.5 ^cd++++=3.5
8.5 ^cd++++=8.5
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
scape ^nn+++??+=scape
8.5 ^cd++++=8.5
37.4 ^cd++++=37.4
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
pink ^jj++++=pink.
. ^zz++++=EXTRAWORD
Flowers ^nns++++=Flowers
with ^in++++=with
pink ^jj+atrb+++=pink
pedicel ^nn+++??+=pedicel,
, ^zz++++=EXTRAWORD
0.5 ^nn+++??+=0.5
1.5 ^cd++++=1.5
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
bracts ^nns+++??+=bracts
narrowly ^rb++++=narrowly
elliptic ^jj++++=elliptic-obovate,
- ^zz++++=EXTRAWORD
obovate ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
8 ^zz++++=8
1 ^zz++++=1
2.5 ^cd++++=2.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
pink ^jj++++=pink;
; ^zz++++=EXTRAWORD
bracteole ^nn+++??+=bracteole
1.5 ^cd++++=1.5
2.3 ^cd++++=2.3
1 ^zz++++=1
1.5 ^cd++++=1.5
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
calyx ^nn+++??+=calyx
1 ^zz++++=1
2 ^zz++++=2
1 ^zz++++=1
1.9 ^cd++++=1.9
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
pinkish ^jj++++=pinkish-red;
- ^zz++++=EXTRAWORD
red ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
corolla ^nn+++??+=corolla
tube ^nn++++=tube
0.6 ^nn+++??+=0.6
1.4 ^cd++++=1.4
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
lobes ^nns++++=lobes
narrowly ^rb++++=narrowly
elliptic ^jj++++=elliptic,
, ^zz++++=EXTRAWORD
0.8 ^nn+++??+=0.8
1.1 ^cd++++=1.1
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
3 ^zz++++=3-lobed,
- ^zz++++=EXTRAWORD
lobed ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
white ^jj++++=white;
; ^zz++++=EXTRAWORD
labellum ^nn+++??+=labellum
3 ^zz++++=3-lobed,
- ^zz++++=EXTRAWORD
lobed ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
pink ^jj++++=pink,
, ^zz++++=EXTRAWORD
with ^in++++=with
pubescent ^nn+++??+=pubescent
base ^nn++++=base,
