It ^pp3+it+++=It
is ^vbz+bez+aux++=is
anticipated ^vpsv++agls+xvbnx+=anticipated
that ^tht+vcmp+++=that
this ^dt+dem+++=this
work ^nn++++=work
will ^md+prd+++=will
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
reference ^nn++++=reference
for ^in++++=for
potential ^jj+atrb+++=potential
adaptations ^nns++++=adaptations
for ^in++++=for
blind ^jj+atrb+++=blind
learners ^nns++++=learners
and ^cc++++=and
assist ^vb++++=assist
educators ^nns++++=educators,
, ^zz++++=EXTRAWORD
both ^abx++++=both
within ^in++++=within
and ^cc++++=and
beyond ^in++++=beyond
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
English ^jj+atrb+++=English
language ^nn++++=language
teaching ^vwbg+++xvbg+=teaching,
, ^zz++++=EXTRAWORD
in ^in++++=in
developing ^xvbg+++xvbg+=developing
lesson ^nn++++=lesson
plans ^nns++++=plans
and ^cc++++=and
instructional ^jj+atrb+++=instructional
materials ^nns++++=materials
that ^tht+rel+subj++=that
promote ^vb++++=promote
accessibility ^nn++++=accessibility
and ^cc++++=and
inclusion ^nn++++=inclusion
for ^in++++=for
all ^abn++++=all
students ^nns++++=students,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
disability ^nn++++=disability.
. ^zz++++=EXTRAWORD
