Regarding ^in++++=Regarding
the ^ati++++=the
residue ^nn++++=residue,
, ^zz++++=EXTRAWORD
the ^ati++++=the
predicator ^nn+++??+=predicator
and ^cc++++=and
adjunct ^nn++++=adjunct
have ^vb+hv+vrb++=have
scores ^nns++++=scores
of ^in++++=of
11 ^cd++++=11
and ^cc++++=and
8 ^zz++++=8
points ^nns++++=points,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
predicator ^nn+++??+=predicator
is ^vbz+bez+vrb++=is
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
frequent ^jj+atrb+++=frequent
component ^nn++++=component,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
adjunct ^nn++++=adjunct
ranks ^nns++++=ranks
third ^nn++++=third
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
functional ^jj+atrb+++=functional
occurrence ^nn++++=occurrence
within ^in++++=within
the ^ati++++=the
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
communication ^nn++++=communication.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
Figure ^nn++++=Figure
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
the ^ati++++=the
subject ^nn++++=subject
appears ^vbz+seem+++=appears
approximately ^rb+down+++=approximately
five ^cd++++=five
times ^nns++++=times,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
finite ^jj++++=finite
also ^rb++++=also
registers ^nns++++=registers
five ^cd++++=five
points ^nns++++=points.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conjunction ^nn++++=conjunction
is ^vbz+bez+vrb++=is
the ^ati++++=the
least ^rbt++++=least
frequent ^jj+atrb+++=frequent
component ^nn++++=component,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
score ^nn++++=score
of ^in++++=of
three ^cd++++=three
points ^nns++++=points.
. ^zz++++=EXTRAWORD
