Indigenous ^jj+atrb+++=Indigenous
Brazilians ^np+++??+=Brazilians
comprise ^vb++++=comprise
diverse ^jj+atrb+++=diverse
groups ^nns++++=groups
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
inhabited ^vprf+++xvbnx+=inhabited
the ^ati++++=the
region ^nn++++=region
prior ^in+cmpx+++=prior
to ^in++++=to
Portuguese ^nn++++=Portuguese
colonization ^nn++++=colonization.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
European ^jj+atrb+++=European
arrival ^nn++++=arrival,
, ^zz++++=EXTRAWORD
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
population ^nn++++=population
was ^vbd+bedz+aux++=was
estimated ^vpsv++agls+xvbnx+=estimated
at ^rb++++=at
approximately ^rb+down+++=approximately
five ^cd++++=five
million ^cd++++=million
individuals ^nns++++=individuals;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
number ^nn++++=number
has ^vbz+hvz+aux++=has
declined ^vprf+++xvbnx+=declined
significantly ^rb++++=significantly
over ^in++++=over
subsequent ^jj+atrb+++=subsequent
centuries ^nns++++=centuries,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
diseases ^vb++++=diseases
introduced ^vwbn+++xvbn+=introduced
by ^in++++=by
Europeans ^nn++++=Europeans
and ^cc++++=and
conflicts ^nns++++=conflicts
with ^in++++=with
colonizers ^nns++++=colonizers.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
2010 ^cd++++=2010
census ^nn++++=census
conducted ^vwbn+++xvbn+=conducted
by ^in++++=by
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Institute ^nn++++=Institute
of ^in++++=of
Geography ^nn++++=Geography
and ^cc++++=and
Statistics ^nns++++=Statistics
( ^zz++++=(IBGE),
ibge ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
896,900 ^cd++++=896,900
indigenous ^jj+atrb+++=indigenous
people ^nns++++=people
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
305 ^cd++++=305
distinct ^jj+atrb+++=distinct
ethnic ^nn++++=ethnic
groups ^nns++++=groups
and ^cc++++=and
speaking ^nn++++=speaking
274 ^cd++++=274
different ^jj+atrb+++=different
languages ^nns++++=languages.
. ^zz++++=EXTRAWORD
