Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
four ^cd++++=four
studies ^nns++++=studies
demonstrate ^vb+vprv+++=demonstrate
that ^tht+vcmp+++=that
gestures ^nns++++=gestures
can ^md+pos+++=can
facilitate ^vb++++=facilitate
the ^ati++++=the
construction ^nn++++=construction
of ^in++++=of
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Gestures ^nns++++=Gestures
tend ^vb++++=tend
to ^to+vcmp+++=to
accompany ^vbi++++=accompany
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
presence ^nn++++=presence
becomes ^vbz++++=becomes
increasingly ^rb++++=increasingly
important ^jj++++=important
as ^in++++=as
the ^ati++++=the
complexity ^nn++++=complexity
and ^cc++++=and
depth ^nn++++=depth
of ^in++++=of
explanation ^nn++++=explanation
required ^vbd+++xvbn+=required
increases ^nns++++=increases.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
gestures ^nns++++=gestures
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
support ^nn++++=support
for ^in++++=for
students ^nns++++=students'
' ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
and ^cc++++=and
reasoning ^nn++++=reasoning
during ^in++++=during
the ^ati++++=the
teaching ^nn++++=teaching
and ^cc++++=and
learning ^nn++++=learning
process ^nn++++=process.
. ^zz++++=EXTRAWORD
