Only ^rb+down+++=Only
one ^cd1++++=one
case ^nn++++=case
study ^nn++++=study
( ^zz++++=(1.4%)
1.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
published ^vbd+++xvbn+=published
in ^in++++=in
2014 ^cd++++=2014
( ^zz++++=(Stringer
stringer ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014)
) ^zz++++=EXTRAWORD
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
a ^at++++=a
cream ^nn++++=cream
containing ^vwbg+++xvbg+=containing
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
essential ^nn++++=essential
oils ^nns++++=oils
for ^in++++=for
managing ^xvbg+++xvbg+=managing
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wound ^vbd+++xvbn+=wound
( ^zz++++=(MFW)
mfw ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
symptoms ^nns++++=symptoms
in ^in++++=in
12 ^cd++++=12
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
women ^nns++++=women
with ^in++++=with
breast ^nn++++=breast
cancer ^nn++++=cancer
aged ^jj++++=aged
between ^in++++=between
40 ^cd++++=40
and ^cc++++=and
81 ^cd++++=81
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
specific ^jj+atrb+++=specific
essential ^jj+atrb+++=essential
oil ^nn++++=oil
ingredients ^nns++++=ingredients
were ^vbd+bed+aux++=were
not ^xnot++not++=not
disclosed ^vbd+vpub++xvbn+=disclosed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
did ^vbd+dod+aux++=did
not ^xnot++not++=not
standardize ^vb++++=standardize
the ^ati++++=the
wound ^xvbn+++xvbn+=wound
dressings ^nns++++=dressings
or ^cc++++=or
provide ^vb+vsua+++=provide
detailed ^jj+atrb+++=detailed
information ^nn++++=information
regarding ^in++++=regarding
the ^ati++++=the
formulation ^nn++++=formulation
of ^in++++=of
the ^ati++++=the
cream ^nn++++=cream
or ^cc++++=or
the ^ati++++=the
frequency ^nn++++=frequency
and ^cc++++=and
method ^nn++++=method
of ^in++++=of
application ^nn++++=application.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
six ^cd++++=six
patients ^nns++++=patients
reported ^vbd+vpub++xvbn+=reported
an ^at++++=an
improvement ^nn++++=improvement
in ^in++++=in
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
maximum ^jj+atrb+++=maximum
pain ^nn++++=pain
scores ^nns++++=scores
reduced ^vpsv++agls+xvbn+=reduced
to ^to++++=to
zero ^cd++++=zero
on ^in++++=on
a ^at++++=a
likert ^np++++=Likert
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
