According ^in+cmpx+++=According
to ^in++++=to
Ferreira ^np+++??+=Ferreira,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sampaio ^np+++??+=Sampaio
( ^zz++++=(2013),
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
physical ^jj+atrb+++=physical
education ^nn++++=education
classes ^nns++++=classes
should ^md+nec+++=should
engage ^vb++++=engage
the ^ati++++=the
body ^nn++++=body
not ^xnot++not++=not
primarily ^rb+down+++=primarily
as ^in++++=as
a ^at++++=a
means ^nn++++=means
of ^in++++=of
training ^nn++++=training,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
a ^at++++=a
way ^nn++++=way
to ^to++++=to
overcome ^vbi++++=overcome
barriers ^nns++++=barriers
and ^cc++++=and
address ^nn++++=address
health ^nn++++=health
promotion ^nn++++=promotion
as ^in++++=as
a ^at++++=a
socially ^rb++++=socially
determined ^jj+atrb++xvbn+=determined
process ^nn++++=process.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
the ^ati++++=the
body ^nn++++=body
is ^vbz+bez+aux++=is
not ^xnot++not++=not
regarded ^vbd+++xvbn+=regarded
merely ^rb+down+++=merely
as ^in++++=as
an ^at++++=an
instrument ^nn++++=instrument,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
an ^at++++=an
integral ^jj+atrb+++=integral
aspect ^nn++++=aspect
of ^in++++=of
an ^at++++=an
individual ^jj+atrb+++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
existence ^nn++++=existence.
. ^zz++++=EXTRAWORD
