A ^at++++=A
review ^nn++++=review
of ^in++++=of
journal ^nn++++=journal
platforms ^nns++++=platforms
for ^in++++=for
studies ^nns++++=studies
addressing ^vwbg+++xvbg+=addressing
the ^ati++++=the
Eal ^np+++??+=EAL
learning ^vwbg+++xvbg+=learning
and ^cc++++=and
teaching ^vwbg+++xvbg+=teaching
processes ^nns++++=processes
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students
reveals ^vbz+vprv+++=reveals
a ^at++++=a
notable ^jj+atrb+++=notable
lack ^nn++++=lack
of ^in++++=of
discussion ^nn++++=discussion
on ^in++++=on
this ^dt+dem+++=this
topic ^nn++++=topic
within ^in++++=within
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
Applied ^jj+atrb++xvbn+=Applied
Linguistics ^nn++++=Linguistics.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
scarcity ^nn++++=scarcity
of ^in++++=of
research ^nn++++=research
not ^xnot++not++=not
only ^rb+down+++=only
highlights ^vb++++=highlights
a ^at++++=a
significant ^jj+atrb+++=significant
gap ^nn++++=gap
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
but ^cc++++=but
also ^rb++++=also
poses ^nns++++=poses
challenges ^vbz++++=challenges
for ^in++++=for
teachers ^nns++++=teachers
seeking ^vwbg+++xvbg+=seeking
effective ^jj+atrb+++=effective
adaptation ^nn++++=adaptation
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
clear ^jj+atrb+++=clear
need ^nn++++=need
for ^in++++=for
research ^nn++++=research
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
development ^nn++++=development
and ^cc++++=and
evaluation ^nn++++=evaluation
of ^in++++=of
adapted ^vbd+++xvbn+=adapted
didactic ^nn+++??+=didactic
materials ^nns++++=materials
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
tangible ^jj+atrb+++=tangible
and ^cc+phrs+++=and
audible ^jj+atrb+++=audible
resources ^nns++++=resources
suitable ^jj++++=suitable
for ^in++++=for
this ^dt+dem+++=this
population ^nn++++=population.
. ^zz++++=EXTRAWORD
