Similar ^jj+atrb+++=Similar
considerations ^nns++++=considerations
apply ^vb++++=apply
to ^in++++=to
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
articulated ^nn+++??+=articulated
epistemic ^nn+++??+=epistemic
behaviors ^nns+++??+=behaviors,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv+tht0+xvbn+=defined
as ^ql++++=as
complex ^jj+atrb+++=complex
attitudes ^nns++++=attitudes
exhibited ^vwbn+++xvbn+=exhibited
by ^in++++=by
children ^nns++++=children
when ^wrb+who+++=when
investigating ^vbg+++xvbg+=investigating
an ^at++++=an
observed ^jj+atrb++xvbn+=observed
phenomenon ^nn++++=phenomenon.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
collected ^jj+atrb++xvbn+=collected
data ^nns++++=data
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
children ^nns++++=children
in ^in++++=in
groups ^nns++++=groups
A ^at++++=A
and ^cc++++=and
B ^zz++++=B,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
participated ^vbd+++xvbn+=participated
in ^in++++=in
the ^ati++++=the
' ^zz++++='promotion
promotion ^nn++++=EXTRAWORD
from ^in++++=from
within ^in++++=within'
' ^zz++++=EXTRAWORD
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
demonstrated ^j+++xvbn+=demonstrated
a ^at++++=a
greater ^jjr+atrb+++=greater
variety ^nn++++=variety
and ^cc++++=and
complexity ^nn++++=complexity
of ^in++++=of
epistemic ^nn+++??+=epistemic
behaviors ^nns+++??+=behaviors
related ^vbd+++xvbn+=related
to ^in++++=to
scientific ^jj+atrb+++=scientific
investigation ^nn++++=investigation
( ^zz++++=(A
a ^at++++=EXTRAWORD
and ^cc++++=and
B ^zz++++=B
= ^zz++++==
11 ^cd++++=11
instances ^nns++++=instances),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
exploration ^nn++++=exploration,
, ^zz++++=EXTRAWORD
experimentation ^nn++++=experimentation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
issue ^nn++++=issue
identification ^nn++++=identification,
, ^zz++++=EXTRAWORD
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
deepen ^vb+++??+=deepen
their ^pp$+pp3+++=their
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
phenomenon ^nn++++=phenomenon.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
group ^nn++++=group
C ^zz++++=C
exhibited ^vbd+++xvbn+=exhibited
both ^abx++++=both
a ^at++++=a
lower ^jjr+atrb+++=lower
frequency ^nn++++=frequency
( ^zz++++=(C
c ^zz++++=EXTRAWORD
= ^zz++++==
4 ^zz++++=4
instances ^nns++++=instances)
) ^zz++++=EXTRAWORD
and ^cc++++=and
reduced ^jj+atrb++xvbn+=reduced
complexity ^nn++++=complexity
( ^zz++++=(limited
limited ^vwbn+++xvbn+=EXTRAWORD
to ^to++++=to
constructing ^vbi++++=constructing
and ^cc++++=and
exploration ^nn++++=exploration)
) ^zz++++=EXTRAWORD
in ^in++++=in
behaviors ^nn++++=behaviors
associated ^vbd+++xvbn+=associated
with ^in++++=with
learning ^nn++++=learning
through ^in++++=through
scientific ^jj+atrb+++=scientific
investigation ^nn++++=investigation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tables ^nns++++=tables
below ^rb++++=below
present ^vb++++=present
the ^ati++++=the
quantity ^nn++++=quantity
and ^cc++++=and
quality ^nn++++=quality
of ^in++++=of
the ^ati++++=the
articulated ^nn+++??+=articulated
epistemic ^nn+++??+=epistemic
behaviors ^vbz++++=behaviors
observed ^vpsv++agls+xvbn+=observed
during ^in++++=during
the ^ati++++=the
investigation ^nn++++=investigation
of ^in++++=of
different ^jj+atrb+++=different
phenomena ^nns++++=phenomena.
. ^zz++++=EXTRAWORD
