While ^cs+sub+++=While
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
accepted ^jj++agls+xvbnx+=accepted
that ^tht+jcmp+++=that
the ^ati++++=the
government ^nn++++=government
is ^vbz+bez+vrb++=is
responsible ^jj+pred+++=responsible
for ^in++++=for
providing ^xvbg+++xvbg+=providing
necessary ^jj+atrb+++=necessary
resources ^nns++++=resources
for ^in++++=for
public ^jj+atrb+++=public
education ^nn++++=education,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
instances ^nns++++=instances
in ^in++++=in
which ^whp+rel+pied++=which
schools ^nns++++=schools
lack ^nn++++=lack
didactic ^nn+++??+=didactic
materials ^nns++++=materials
required ^vbd+++xvbn+=required
for ^in++++=for
the ^ati++++=the
education ^nn++++=education
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
responsibility ^nn++++=responsibility
for ^in++++=for
adapting ^xvbg+++xvbg+=adapting
instructional ^jj+atrb+++=instructional
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
textbooks ^nns++++=textbooks
and ^cc++++=and
printed ^xvbn+++xvbn+=printed
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
often ^rb++++=often
falls ^vbz++++=falls
to ^in++++=to
the ^ati++++=the
teacher ^nn++++=teacher.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
language ^nn++++=language
teachers ^vb++++=teachers
to ^to+vcmp+++=to
acquire ^vbi++++=acquire
at ^in++++=at
least ^rbt++++=least
a ^at++++=a
basic ^jj++++=basic
understanding ^jj+++xvbg+=understanding
of ^in++++=of
material ^nn++++=material
adaptation ^nn++++=adaptation
techniques ^nns++++=techniques
and ^cc++++=and
effective ^jj+atrb+++=effective
communication ^nn++++=communication
strategies ^nns+++??+=strategies
with ^in++++=with
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
employ ^vbi++++=employ
the ^ati++++=the
most ^ql+emph+++=most
appropriate ^jj+atrb+++=appropriate
instructional ^jj+atrb+++=instructional
methods ^nns++++=methods
that ^tht+rel+obj++=that
address ^nn++++=address
their ^pp$+pp3+++=their
specific ^jj+atrb+++=specific
needs ^nns++++=needs
and ^cc++++=and
challenges ^vbz++++=challenges.
. ^zz++++=EXTRAWORD
