Originally ^rb+tm+++=Originally
developed ^vbd+++xvbn+=developed
in ^in++++=in
1995 ^cd+date+++=1995
for ^in++++=for
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
vaccine ^nn++++=vaccine
safety ^nn++++=safety
in ^in++++=in
pharmacoepidemiology ^nn+++??+=pharmacoepidemiology,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
design ^nn++++=design
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
applied ^vpsv++agls+xvbnx+=applied
in ^in++++=in
general ^jj+atrb+++=general
epidemiology ^nn+++??+=epidemiology
as ^in++++=as
well ^rb++++=well
( ^zz++++=(1,6,7).
1,6,7 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
derivative ^nn++++=derivative
of ^in++++=of
the ^ati++++=the
cohort ^nn++++=cohort
study ^nn++++=study
design ^nn++++=design,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
experienced ^vprf+++xvbnx+=experienced
the ^ati++++=the
event ^nn++++=event
of ^in++++=of
interest ^nn++++=interest
are ^vb+ber+aux++=are
observed ^vpsv++agls+xvbnx+=observed
over ^in++++=over
a ^at++++=a
predefined ^nn+++??+=predefined
observation ^nn++++=observation
period ^nn++++=period,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
their ^pp$+pp3+++=their
exposure ^nn++++=exposure
history ^nn++++=history
and ^cc++++=and
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
the ^ati++++=the
event ^nn++++=event
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
observation ^nn++++=observation
period ^nn++++=period,
, ^zz++++=EXTRAWORD
distinct ^jj+atrb+++=distinct
risk ^nn++++=risk
and ^cc++++=and
control ^nn++++=control
periods ^nns++++=periods
are ^vb+ber+aux++=are
established ^vpsv++agls+xvbnx+=established,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
typically ^rb++++=typically
differ ^vb++++=differ
in ^in++++=in
duration ^nn++++=duration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
risk ^nn++++=risk
period ^nn++++=period
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
a ^at++++=a
priori ^rb++++=priori
as ^ql++++=as
the ^ati++++=the
interval ^nn++++=interval
during ^in++++=during
or ^cc++++=or
following ^jj+atrb++xvbg+=following
exposure ^nn++++=exposure
when ^wrb+who+++=when
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
presumed ^vpsv++agls+xvbnx+=presumed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
at ^rb++++=at
an ^at++++=an
altered ^jj+atrb++xvbn+=altered
risk ^nn++++=risk
( ^zz++++=(either
either ^dtx++++=EXTRAWORD
increased ^jj+++xvbn+=increased
or ^cc+phrs+++=or
decreased ^jj+++xvbn+=decreased)
) ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
event ^nn++++=event
of ^in++++=of
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
control ^nn++++=control
period ^nn++++=period
encompasses ^vbz++++=encompasses
any ^dti++++=any
time ^nn++++=time
within ^in++++=within
the ^ati++++=the
observation ^nn++++=observation
period ^nn++++=period
that ^tht+rel+subj++=that
does ^vbz+doz+aux++=does
not ^xnot++not++=not
overlap ^vb++++=overlap
with ^in++++=with
the ^ati++++=the
risk ^nn++++=risk
period ^nn++++=period,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
occur ^vb++++=occur
