Regarding ^in++++=Regarding
the ^ati++++=the
category ^nn++++=category
" ^zz++++="Body,"
body ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
it ^pp3+it+++=it
functions ^nns++++=functions
as ^in++++=as
a ^at++++=a
mediator ^nn++++=mediator
in ^in++++=in
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
physical ^jj+atrb+++=physical
education ^nn++++=education
( ^zz++++=(PE)
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
health ^nn++++=health.
. ^zz++++=EXTRAWORD
The ^ati++++=The
participants ^nns++++=participants
identified ^vwbn+++xvbn+=identified
the ^ati++++=the
body ^nn++++=body
as ^in++++=as
an ^at++++=an
intermediary ^nn++++=intermediary
through ^in++++=through
which ^whp+rel+pied++=which
actions ^nns++++=actions
are ^vb+ber+aux++=are
executed ^vpsv++agls+xvbnx+=executed,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
knowledge ^nn++++=knowledge
of ^in++++=of
bodily ^jj+atrb+++=bodily
functions ^nns++++=functions
facilitates ^nns+++??+=facilitates
greater ^jjr+atrb+++=greater
control ^nn++++=control
over ^in++++=over
the ^ati++++=the
body ^nn++++=body
and ^cc++++=and
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
attainment ^nn++++=attainment
of ^in++++=of
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
cause ^nn++++=cause-and-effect
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
effect ^nn++++=EXTRAWORD
relationship ^nn++++=relationship
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbn+=observed
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context.
. ^zz++++=EXTRAWORD
