Panoramic ^jj+atrb+++=Panoramic
radiography ^nn+++??+=radiography
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
utilized ^vpsv++agls+xvbnx+=utilized
in ^in++++=in
routine ^nn++++=routine
dental ^jj+atrb+++=dental
practice ^nn++++=practice
as ^ql++++=as
it ^pp3+it+++=it
provides ^vbz+vsua+++=provides
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
teeth ^nns++++=teeth
and ^cc++++=and
oral ^jj+atrb+++=oral
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
In ^in++++=In
most ^ql+emph+++=most
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC)
mc ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
identified ^vpsv++agls+xvbnx+=identified
without ^in++++=without
significant ^jj+atrb+++=significant
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
enabling ^vbg+++xvbg+=enabling
practitioners ^nns++++=practitioners
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
inferior ^jj+atrb+++=inferior
alveolar ^nn+++??+=alveolar
nerve ^nn++++=nerve
( ^zz++++=(IAN)
ian ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
injury ^nn++++=injury
during ^in++++=during
invasive ^nn+++??+=invasive
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
two ^cd++++=two-dimensional
- ^zz++++=EXTRAWORD
dimensional ^nn+++??+=EXTRAWORD
imaging ^nn+++??+=imaging
modality ^nn+++??+=modality,
, ^zz++++=EXTRAWORD
panoramic ^jj+atrb+++=panoramic
radiography ^nn+++??+=radiography
does ^vbz+doz+aux++=does
not ^xnot++not++=not
provide ^vb+vsua+++=provide
three ^cd++++=three-dimensional
- ^zz++++=EXTRAWORD
dimensional ^nn+++??+=EXTRAWORD
information ^nn++++=information
and ^cc++++=and
may ^md+pos+++=may
fail ^vb++++=fail
to ^to+vcmp+++=to
reveal ^vbi+vprv+++=reveal
finer ^jjr+atrb+++=finer
anatomical ^jj+atrb+++=anatomical
details ^nns++++=details
of ^in++++=of
the ^ati++++=the
mc ^nnu++++=MC
[ ^zz++++=[24].
24 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
