Eighty ^cd++++=Eighty-nine
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
students ^nns++++=students
from ^in++++=from
the ^ati++++=the
University ^nn++++=University
of ^in++++=of
International ^jj+atrb+++=International
Studies ^nns++++=Studies
in ^in++++=in
Xi ^np+++??+=Xi'an,
'an, ^nn+++??+=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
participated ^j+++xvbn+=participated
in ^in++++=in
a ^at++++=a
study ^nn++++=study
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
investigate ^vbi++++=investigate
whether ^cs+who+++=whether
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
tuning ^xvbg+++xvbg+=tuning
gestures ^nns++++=gestures
can ^md+pos+++=can
enhance ^vb++++=enhance
the ^ati++++=the
learning ^jj+++xvbg+=learning
of ^in++++=of
prosody ^nn++++=prosody,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
aspects ^nns++++=aspects
of ^in++++=of
speech ^nn++++=speech
such ^abl++++=such
as ^ql++++=as
accent ^nn++++=accent
and ^cc++++=and
intonation ^nn++++=intonation.
. ^zz++++=EXTRAWORD
Yuan ^np+++??+=Yuan,
, ^zz++++=EXTRAWORD
Gonz ^np+++??+=Gonz
lez ^nn+++??+=lez-Fuente,
- ^zz++++=EXTRAWORD
fuente ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Baills ^np+++??+=Baills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Prieto ^np+++??+=Prieto
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
divided ^jj+++xvbn+=divided
the ^ati++++=the
participants ^nns++++=participants
into ^in++++=into
two ^cd++++=two
equivalent ^jj+atrb+++=equivalent
groups ^nns++++=groups:
: ^zz++++=EXTRAWORD
a ^at++++=a
control ^nn++++=control
group ^nn++++=group,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
received ^vbd+++xvbn+=received
intonation ^nn++++=intonation
training ^nn++++=training
without ^in++++=without
tuning ^xvbg+++xvbg+=tuning
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
experimental ^jj+atrb+++=experimental
group ^nn++++=group,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
received ^vbd+++xvbn+=received
the ^ati++++=the
same ^ap++++=same
training ^nn++++=training
supplemented ^vbd+++xvbn+=supplemented
with ^in++++=with
tuning ^xvbg+++xvbg+=tuning
gestures ^nns++++=gestures
that ^tht+rel+subj++=that
represented ^vbd+++xvbn+=represented
nuclear ^jj+atrb+++=nuclear
intonation ^nn++++=intonation
contours ^nns++++=contours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
demonstrated ^vbd+vprv++xvbn+=demonstrated
significantly ^rb++++=significantly
greater ^jjr+atrb+++=greater
improvement ^nn++++=improvement
in ^in++++=in
prosody ^nn++++=prosody
learning ^vwbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
participants ^nns++++=participants
with ^in++++=with
stronger ^jjr+atrb+++=stronger
musical ^jj+atrb+++=musical
skills ^nns++++=skills
achieved ^vwbn+++xvbn+=achieved
higher ^jjr+atrb+++=higher
overall ^jjb+atrb+++=overall
results ^nns++++=results,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
with ^in++++=with
weaker ^jjr+atrb+++=weaker
musical ^jj+atrb+++=musical
skills ^nns++++=skills
showed ^vbd+vprv++xvbn+=showed
greater ^jjr+atrb+++=greater
relative ^jj+atrb+++=relative
benefit ^nn++++=benefit
from ^in++++=from
observing ^vbg+vprv++xvbg+=observing
the ^ati++++=the
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
