Policy ^nn++++=Policy
statements ^nns++++=statements
serve ^vb++++=serve
both ^abx++++=both
immediate ^jj+atrb+++=immediate
and ^cc+phrs+++=and
historical ^jj+atrb+++=historical
functions ^nns++++=functions.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
immediate ^jj+atrb+++=immediate
context ^nn++++=context,
, ^zz++++=EXTRAWORD
a ^at++++=a
policy ^nn++++=policy
statement ^nn++++=statement
can ^md+pos+++=can
act ^vb++++=act
as ^ql++++=as
a ^at++++=a
formal ^jj+atrb+++=formal
exercise ^nn++++=exercise
of ^in++++=of
the ^ati++++=the
chancellor ^npt++++=chancellor
s ^zz++++=s
Richtlinienkompetenz ^np+++??+=Richtlinienkompetenz
( ^zz++++=(policy-making
policy ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
authority ^nn++++=authority)
) ^zz++++=EXTRAWORD
( ^zz++++=(St
st ^npt++++=EXTRAWORD
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
26 ^cd++++=26
43 ^cd++++=43),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
articulating ^nn+++??+=articulating
guidelines ^nns+++??+=guidelines
and ^cc++++=and
programmes ^nns++++=programmes
intended ^vwbn+++xvbn+=intended
to ^to+vcmp+++=to
direct ^vbi+vpub+++=direct
the ^ati++++=the
actions ^nns++++=actions
of ^in++++=of
the ^ati++++=the
entire ^jjb+atrb+++=entire
coalition ^nn++++=coalition
government ^nn++++=government
( ^zz++++=(Korte,
korte ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
456 ^cd++++=456).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
From ^in++++=From
a ^at++++=a
historical ^jj+atrb+++=historical
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
policy ^nn++++=policy
statements ^nns++++=statements
are ^vb+ber+aux++=are
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
documents ^nns++++=documents
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
identification ^nn++++=identification
or ^cc++++=or
omission ^nn++++=omission
of ^in++++=of
specific ^jj+atrb+++=specific
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
language ^nn++++=language
employed ^vbd+++xvbn+=employed,
, ^zz++++=EXTRAWORD
provide ^vb+vsua+++=provide
primary ^jj+atrb+++=primary
sources ^nns++++=sources
for ^in++++=for
analyzing ^nn+++??+=analyzing
and ^cc++++=and
interpreting ^vbg+++xvbg+=interpreting
the ^ati++++=the
chancellor ^npt++++=chancellor
s ^zz++++=s
historical ^jj+atrb+++=historical
role ^nn++++=role
( ^zz++++=(Korte,
korte ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
457 ^cd++++=457).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
