According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
( ^zz++++=(WHO),
who ^whp+who+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
2019 ^cd++++=2019
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
approximately ^rb+down+++=approximately
39 ^cd++++=39
million ^cd++++=million
individuals ^nns++++=individuals
worldwide ^nn+++??+=worldwide
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
with ^in++++=with
over ^in++++=over
1.5 ^cd++++=1.5
million ^cd++++=million
of ^in++++=of
these ^dt+dem+++=these
cases ^nns++++=cases
occurring ^vwbg+++xvbg+=occurring
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Institute ^nn++++=Institute
of ^in++++=of
Geography ^nn++++=Geography
and ^cc++++=and
Statistics ^nns++++=Statistics
( ^zz++++=(IBGE)
ibge ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Cegueira
cegueira ^nn+++??+=EXTRAWORD
Afeta ^np+++??+=Afeta
39 ^cd++++=39
Milh ^np+++??+=Milh
es ^&fw++++=es
de ^&fw++++=de
Pessoas ^np+++??+=Pessoas
no ^at++++=no
Mundo ^np+++??+=Mundo,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
an ^at++++=an
Ibge ^np+++??+=IBGE
survey ^vb++++=survey
published ^vbd+++xvbn+=published
in ^in++++=in
2015 ^cd++++=2015
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
South ^np+pl+++=South
region ^nn++++=region
of ^in++++=of
Brazil ^np++++=Brazil
has ^vbz+hvz+vrb++=has
the ^ati++++=the
highest ^jjt+atrb+++=highest
proportion ^nn++++=proportion
of ^in++++=of
individuals ^nns++++=individuals
with ^in++++=with
some ^dti++++=some
degree ^nn++++=degree
of ^in++++=of
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
5.4 ^cd++++=5.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
its ^pp$+it+++=its
population ^nn++++=population
( ^zz++++=(Villela,
villela ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
