The ^ati++++=The
bifurcation ^nn+++??+=bifurcation
of ^in++++=of
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC)
mc ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
examined ^vpsv++by+xvbnx+=examined
by ^in++++=by
several ^ap++++=several
researchers ^nns+++??+=researchers
using ^vwbg+++xvbg+=using
various ^jj+atrb+++=various
radiographic ^nn+++??+=radiographic
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
Nortje ^np+++??+=Nortje
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[11]
11 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
Langlais ^np+++??+=Langlais
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[12]
12 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
utilized ^vbd+++xvbn+=utilized
panoramic ^jj+atrb+++=panoramic
radiographs ^nns+++??+=radiographs
and ^cc++++=and
reported ^vbn+vpub++xvbn+=reported
prevalences ^nns+++??+=prevalences
of ^in++++=of
bifid ^nn+++??+=bifid
Mc ^nnu++++=MC
of ^in++++=of
0.91 ^nn+++??+=0.91%
% ^zz++++=EXTRAWORD
( ^zz++++=(33
33 ^cd++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
3612 ^cd++++=3612
cases ^nns++++=cases)
) ^zz++++=EXTRAWORD
and ^cc++++=and
0.95 ^nn+++??+=0.95%
% ^zz++++=EXTRAWORD
( ^zz++++=(57
57 ^cd++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
6000 ^cd++++=6000
cases ^nns++++=cases),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
