Once ^rb+tm+++=Once
the ^ati++++=the
broker ^nn++++=broker
is ^vbz+bez+aux++=is
selected ^vpsv++agls+xvbnx+=selected
and ^cc++++=and
the ^ati++++=the
link ^nn++++=link
is ^vbz+bez+aux++=is
established ^vpsv++agls+xvbnx+=established,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
examine ^vbi++++=examine
the ^ati++++=the
mechanisms ^nns++++=mechanisms
by ^in++++=by
which ^whp+rel+pied++=which
participants ^nns++++=participants
maintain ^vb+vpub+++=maintain
this ^dt+dem+++=this
relationship ^nn++++=relationship.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
analyze ^vb+++??+=analyze
the ^ati++++=the
practical ^jj+atrb+++=practical
processes ^nns++++=processes
through ^in++++=through
which ^whp+rel+pied++=which
requests ^nns++++=requests
and ^cc++++=and
deliveries ^nns+++??+=deliveries
are ^vb+ber+aux++=are
conducted ^vpsv++agls+xvbnx+=conducted.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
capacity ^nn++++=capacity
of ^in++++=of
state ^nn++++=state
representatives ^nns++++=representatives
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
performance ^nn++++=performance
of ^in++++=of
brokers ^nns++++=brokers
warrants ^nns+++??+=warrants
investigation ^nn++++=investigation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
does ^vbz+doz+vrb++=does
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
such ^abl++++=such
evaluations ^nns+++??+=evaluations
influence ^nn++++=influence
subsequent ^jj+atrb+++=subsequent
decisions ^nns++++=decisions
regarding ^in++++=regarding
the ^ati++++=the
allocation ^nn++++=allocation
of ^in++++=of
services ^nns++++=services
and ^cc++++=and
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
these ^dt+dem+++=these
services ^nns++++=services
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbn+=provided.
. ^zz++++=EXTRAWORD
