Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
classification ^nn++++=classification,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
define ^vb++++=define:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
" ^zz++++="no
no ^at++++=EXTRAWORD
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment"
" ^zz++++=EXTRAWORD
as ^ql++++=as
mild ^jj+atrb+++=mild
vision ^nn++++=vision
loss ^nn++++=loss
or ^cc++++=or
near ^in+pl+++=near-normal
- ^zz++++=EXTRAWORD
normal ^jj+atrb+++=EXTRAWORD
vision ^nn++++=vision,
, ^zz++++=EXTRAWORD
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
perceive ^vbi+vprv+++=perceive
light ^jj++++=light;
; ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
" ^zz++++="moderate
moderate ^jj+atrb+++=EXTRAWORD
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment"
" ^zz++++=EXTRAWORD
as ^ql++++=as
moderate ^jj+atrb+++=moderate
low ^jj+atrb+++=low
vision ^nn++++=vision,
, ^zz++++=EXTRAWORD
with ^in++++=with
continued ^vbd+++xvbn+=continued
light ^jj+atrb+++=light
perception ^nn++++=perception;
; ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
" ^zz++++="severe
severe ^jj+atrb+++=EXTRAWORD
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment"
" ^zz++++=EXTRAWORD
as ^ql++++=as
significant ^jj+atrb+++=significant
low ^jj+atrb+++=low
vision ^nn++++=vision,
, ^zz++++=EXTRAWORD
with ^in++++=with
minimal ^jj+atrb+++=minimal
light ^nn++++=light
perception ^nn++++=perception;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
" ^zz++++="blindness"
blindness ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
profound ^jj++++=profound
to ^in++++=to
total ^jj+atrb+++=total
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment,
, ^zz++++=EXTRAWORD
characterized ^nn+++??+=characterized
by ^in++++=by
little ^jj++++=little
or ^cc++++=or
no ^at++++=no
light ^jj+atrb+++=light
perception ^nn++++=perception.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
blindness ^nn++++=blindness
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
form ^nn++++=form
of ^in++++=of
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
the ^ati++++=the
most ^ql+emph+++=most
severe ^jj+atrb+++=severe
category ^nn++++=category
within ^in++++=within
this ^dt+dem+++=this
classification ^nn++++=classification.
. ^zz++++=EXTRAWORD
