While ^cs+sub+++=While
acknowledging ^vbg+++xvbg+=acknowledging
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
local ^jj+atrb+++=local
political ^jj+atrb+++=political
actors ^nns++++=actors
as ^ql++++=as
brokers ^nns++++=brokers
for ^in++++=for
legislators ^nns+++??+=legislators,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
theories ^nns++++=theories
the ^ati++++=the
predominant ^jj+atrb+++=predominant
framework ^nn++++=framework
for ^in++++=for
analyzing ^nn+++??+=analyzing
these ^dt+dem+++=these
relationships ^nns++++=relationships
( ^zz++++=(Stokes
stokes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited
in ^in++++=in
their ^pp$+pp3+++=their
applicability ^nn++++=applicability
to ^in++++=to
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
context ^nn++++=context,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
brokers ^nns++++=brokers
themselves ^ppls+pp3+++=themselves
hold ^nn++++=hold
elective ^nn+++??+=elective
office ^nn++++=office
and ^cc++++=and
assume ^vb+vprv+++=assume
dual ^jj+atrb+++=dual
roles ^nns++++=roles.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
do ^vb+do+aux++=do
not ^xnot++not++=not
support ^vb++++=support
the ^ati++++=the
assumptions ^nn++++=assumptions
that ^tht+ncmp+obj++=that
an ^at++++=an
inherent ^jj+atrb+++=inherent
conflict ^nn++++=conflict
of ^in++++=of
objectives ^nns++++=objectives
exists ^vbz++++=exists
between ^in++++=between
brokers ^nns++++=brokers
and ^cc++++=and
principals ^nns++++=principals,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
informational ^nn+++??+=informational
asymmetry ^nn+++??+=asymmetry
consistently ^rb++++=consistently
favors ^nns++++=favors
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
irrespective ^in++++=irrespective
of ^in++++=of
contextual ^nn++++=contextual
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
