Regarding ^in++++=Regarding
the ^ati++++=the
legal ^jj+atrb+++=legal
framework ^nn++++=framework
governing ^vwbg+++xvbg+=governing
labor ^nn+++??+=labor
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
several ^ap++++=several
provisions ^nns++++=provisions
addressing ^vwbg+++xvbg+=addressing
workers ^nns++++=workers'
' ^zz++++=EXTRAWORD
conditions ^nns++++=conditions
were ^vbd+bed+aux++=were
established ^vpsv++agls+xvbnx+=established
during ^in++++=during
the ^ati++++=the
1930s ^cd+date+++=1930s.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
relevant ^jj+atrb+++=relevant
regulation ^nn++++=regulation
was ^vbd+bedz+aux++=was
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
Penal ^jj+atrb+++=Penal
Code ^nn++++=Code
of ^in++++=of
1906 ^cd+date+++=1906,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
remained ^vbd+++xvbn+=remained
in ^in++++=in
effect ^nn++++=effect
throughout ^in++++=throughout
the ^ati++++=the
1930s ^cd+date+++=1930s
and ^cc++++=and
prescribed ^jj+atrb++xvbn+=prescribed
imprisonment ^nn++++=imprisonment
for ^in++++=for
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
reduced ^xvbn+++xvbn+=reduced
workers ^nns++++=workers'
' ^zz++++=EXTRAWORD
wages ^nns++++=wages
( ^zz++++=(Article
article ^nn++++=EXTRAWORD
298 ^cd++++=298).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
on ^in++++=on
September ^nr++++=September
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
1916 ^cd+date+++=1916,
, ^zz++++=EXTRAWORD
legislation ^nn++++=legislation
was ^vbd+bedz+aux++=was
enacted ^vpsv++agls+xvbnx+=enacted
to ^to++++=to
regulate ^vbi++++=regulate
working ^jj+atrb++xvbg+=working
hours ^nns++++=hours
and ^cc++++=and
days ^nns++++=days,
, ^zz++++=EXTRAWORD
setting ^nvbg+++xvbg+=setting
the ^ati++++=the
standard ^jj++++=standard
at ^rb++++=at
eight ^cd++++=eight
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day
and ^cc++++=and
six ^cd++++=six
days ^nns++++=days
per ^in++++=per
week ^nn++++=week
( ^zz++++=(Albornoz
albornoz ^nn+++??+=EXTRAWORD
1931:52 ^cd++++=1931:52).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
1921 ^cd+date+++=1921,
, ^zz++++=EXTRAWORD
a ^at++++=a
law ^nn++++=law
was ^vbd+bedz+aux++=was
introduced ^vpsv++agls+xvbnx+=introduced
to ^to++++=to
provide ^vbi+vsua+++=provide
pecuniary ^nn+++??+=pecuniary
compensation ^nn++++=compensation
to ^in++++=to
workers ^nns++++=workers
or ^cc++++=or
day ^nn++++=day
laborers ^nns+++??+=laborers
in ^in++++=in
the ^ati++++=the
event ^nn++++=event
of ^in++++=of
work ^nn++++=work-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
accidents ^nns++++=accidents.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Social ^jj+atrb+++=Social
Welfare ^nn++++=Welfare
and ^cc++++=and
Labor ^np+++??+=Labor
Section ^nn++++=Section
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
on ^in++++=on
July ^nr++++=July
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
1925 ^cd+date+++=1925,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
formally ^rb++++=formally
created ^vprf+++xvbn+=created
on ^in++++=on
july ^nr++++=July
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
1926 ^cd+date+++=1926.
. ^zz++++=EXTRAWORD
