Regarding ^in++++=Regarding
the ^ati++++=the
category ^nn++++=category
of ^in++++=of
Self ^nn++++=Self-care,
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
a ^at++++=a
notable ^jj+atrb+++=notable
emphasis ^nn++++=emphasis
on ^in++++=on
the ^ati++++=the
individual ^jj+atrb+++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
role ^nn++++=role
in ^in++++=in
establishing ^xvbg+++xvbg+=establishing
boundaries ^nns++++=boundaries
and ^cc++++=and
strategies ^nns+++??+=strategies
for ^in++++=for
maintaining ^xvbg+++xvbg+=maintaining
health ^nn++++=health.
. ^zz++++=EXTRAWORD
In ^in++++=In
line ^nn++++=line
with ^in++++=with
Bracht ^np+++??+=Bracht
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
self ^nn++++=self-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
comprising ^jj+atrb++xvbg+=comprising
two ^cd++++=two
distinct ^jj+atrb+++=distinct
dimensions ^nns++++=dimensions:
: ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
occurs ^vbz++++=occurs
when ^wrb+who+++=when
self ^nn++++=self-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
practices ^nns++++=practices
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
external ^jj+atrb+++=external
pressures ^nns++++=pressures
or ^cc++++=or
oppression ^nn++++=oppression,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
the ^ati++++=the
individual ^nn++++=individual
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
these ^dt+dem+++=these
behaviors ^nns+++??+=behaviors
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
coercion ^vb++++=coercion;
; ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
dimension ^nn++++=dimension
arises ^vbz++++=arises
when ^wrb+who+++=when
self ^nn++++=self-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
undertaken ^vpsv++agls+xvbnx+=undertaken
consciously ^rb++++=consciously
and ^cc+phrs+++=and
autonomously ^rb+cnj+++=autonomously,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
the ^ati++++=the
exercise ^nn++++=exercise
of ^in++++=of
personal ^jj+atrb+++=personal
freedom ^nn++++=freedom,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
the ^ati++++=the
body ^nn++++=body
is ^vbz+bez+aux++=is
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
an ^at++++=an
active ^jj+atrb+++=active
participant ^nn++++=participant
in ^in++++=in
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
a ^at++++=a
chosen ^jj+atrb+++=chosen
lifestyle ^nn++++=lifestyle.
. ^zz++++=EXTRAWORD
