Health ^nn++++=Health
comprises ^vbz++++=comprises
various ^jj+atrb+++=various
elements ^nns++++=elements.
. ^zz++++=EXTRAWORD
For ^in++++=For
young ^jj+atrb+++=young
people ^nns++++=people
in ^in++++=in
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
reduce ^vbi++++=reduce
their ^pp$+pp3+++=their
use ^nn++++=use
of ^in++++=of
devices ^nns++++=devices
such ^abl++++=such
as ^ql++++=as
cell ^nn++++=cell
phones ^nns++++=phones
and ^cc++++=and
headsets ^nns+++??+=headsets
and ^cc++++=and
encourage ^vb++++=encourage
greater ^jjr+atrb+++=greater
participation ^nn++++=participation
in ^in++++=in
sports ^nns++++=sports,
, ^zz++++=EXTRAWORD
as ^ql++++=as
engaging ^jj+++xvbg+=engaging
in ^in++++=in
physical ^jj+atrb+++=physical
activity ^nn++++=activity
can ^md+pos+++=can
help ^vb++++=help
prevent ^vb++++=prevent
illness ^nn++++=illness,
, ^zz++++=EXTRAWORD
including ^in++++=including
mental ^jj+atrb+++=mental
health ^nn++++=health
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
positively ^rb++++=positively
influence ^vb++++=influence
their ^pp$+pp3+++=their
perception ^nn++++=perception
of ^in++++=of
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
health ^nn++++=health
involves ^vbz++++=involves
both ^abx++++=both
a ^at++++=a
sound ^jj+atrb+++=sound
mind ^nn++++=mind
and ^cc++++=and
a ^at++++=a
healthy ^jj+atrb+++=healthy
body ^nn++++=body.
. ^zz++++=EXTRAWORD
( ^zz++++=(Nara
nara ^nn++++=EXTRAWORD
portuguese ^nn++++=Portuguese
language ^nn++++=language
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
