As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Tables ^nns++++=Tables
6 ^zz++++=6
and ^cc++++=and
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
in ^in++++=in
1936 ^cd+date+++=1936
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
based ^xvbn+++xvbn+=based
on ^in++++=on
prior ^jj+atrb+++=prior
earnings ^nns++++=earnings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Minimum ^jj+atrb+++=minimum
Wage ^nn++++=wage
Ranged ^vbd+++xvbn+=ranged
From ^in++++=from
 ^zz++++=$17.50
7.50 ^cd++++=EXTRAWORD
To ^to++++=to
 ^zz++++=$278.40.
78.40 ^cd++++=EXTRAWORD
 ^zz++++=EXTRAWORD
