Autistic ^np+++??+=Autistic
adults ^nns++++=adults
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
higher ^jjr+atrb+++=higher
tendency ^nn++++=tendency
to ^to+ncmp+++=to
use ^vbi++++=use
unilateral ^jj++++=unilateral
rather ^rb++++=rather
than ^in++++=than
bilateral ^nn+++??+=bilateral
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
motor ^nn++++=motor
characteristic ^nn++++=characteristic
of ^in++++=of
individual ^jj+atrb+++=individual
gestures ^nns++++=gestures
associated ^vbd+++xvbn+=associated
with ^in++++=with
autism ^nn+++??+=autism
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
Researchers ^np+++??+=Researchers
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
co ^nn++++=co-speech
- ^zz++++=EXTRAWORD
speech ^nn++++=EXTRAWORD
gestures ^nns++++=gestures
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
connection ^nn++++=connection
between ^in++++=between
non ^&fw++++=non-verbal
- ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=EXTRAWORD
communication ^nn++++=communication
symptoms ^nns++++=symptoms
and ^cc++++=and
established ^vbn+vprv++xvbn+=established
differences ^nns++++=differences
in ^in++++=in
motor ^nn++++=motor
performance ^nn++++=performance
observed ^jj++++=observed
in ^in++++=in
individuals ^nns++++=individuals
with ^in++++=with
autism ^nn++++=autism.
. ^zz++++=EXTRAWORD
