Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
this ^dt+dem+++=this
study ^nn++++=study
proposes ^vbz+vsua+++=proposes
adaptations ^nns++++=adaptations
of ^in++++=of
activities ^nns++++=activities
for ^in++++=for
use ^nn++++=use
by ^in++++=by
sixth ^od++++=sixth-grade
- ^zz++++=EXTRAWORD
grade ^nn++++=EXTRAWORD
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
first ^od++++=first
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
series ^nn++++=series,
, ^zz++++=EXTRAWORD
the ^ati++++=the
textbook ^nn++++=textbook
" ^zz++++="Way
way ^nn++++=EXTRAWORD
to ^in++++=to
English ^nn++++=English
for ^in++++=for
Brazilian ^jj+atrb+++=Brazilian
Learners ^nns++++=Learners
 ^zz++++=6,"
 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=is
Analyzed ^nn++++=analyzed
In ^in++++=in
This ^dt+dem+++=this
Paper ^nn++++=paper.
 ^zz++++=EXTRAWORD
