Certain ^jj+atrb+++=Certain
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
likelihood ^nn++++=likelihood
of ^in++++=of
qualification ^nn++++=qualification
and ^cc++++=and
match ^nn++++=match
outcomes ^nns+++??+=outcomes
particularly ^rb++++=particularly
defeat ^vb++++=defeat
affected ^vbd+++xvbn+=affected
the ^ati++++=the
variation ^nn++++=variation
in ^in++++=in
Present ^jj+atrb+++=Present
Mood ^nn++++=Mood
States ^np++++=States
( ^zz++++=(PMS)
pms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
observed ^vbd+vprv++xvbn+=observed
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
evidenced ^nn+++??+=evidenced
by ^in++++=by
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
frequency ^nn++++=frequency
and ^cc++++=and
intensity ^nn++++=intensity
of ^in++++=of
Pmsl ^np+++??+=PMSL
Factors ^nns++++=Factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
negative ^jj+atrb+++=negative
hedonic ^nn+++??+=hedonic
value ^nn++++=value,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
statements ^nns++++=statements
such ^abl++++=such
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
angry ^jj+pred+++=angry,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sad ^jj+pred+++=sad,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
humiliated ^vbd+++xvbn+=humiliated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
ashamed ^jj++++=ashamed
following ^xvbg+++xvbg+=following
matches ^vbz++++=matches.
. ^zz++++=EXTRAWORD
