Although ^cs+con+++=Although
the ^ati++++=the
initial ^jj+atrb+++=initial
objective ^nn++++=objective
was ^vbd+bedz+aux++=was
to ^to++++=to
select ^vb++++=select
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
eight ^cd++++=eight
main ^jjb+atrb+++=main
units ^nns++++=units
from ^in++++=from
the ^ati++++=the
Way ^nn++++=Way
to ^in++++=to
English ^nn++++=English
for ^in++++=for
Brazilian ^jj+atrb+++=Brazilian
Learners ^nns++++=Learners
6 ^zz++++=6
textbook ^nn++++=textbook
for ^in++++=for
presentation ^nn++++=presentation
and ^cc++++=and
adaptation ^nn++++=adaptation
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
material ^nn++++=material
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
Vocabulary ^nn++++=Vocabulary
Corner ^nn++++=Corner
section ^nn++++=section
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
relevant ^jj++++=relevant
for ^in++++=for
adaptation ^nn++++=adaptation
to ^to++++=to
meet ^vbi++++=meet
the ^ati++++=the
needs ^nns++++=needs
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
