Juliana ^np+++??+=Juliana,
, ^zz++++=EXTRAWORD
a ^at++++=a
geography ^nn++++=geography
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
stated ^vb+++xvbn+=stated
that ^tht+vcmp+++=that
the ^ati++++=the
objective ^nn++++=objective
is ^vbz+bez+aux++=is
to ^to++++=to
develop ^vbi++++=develop
a ^at++++=a
product ^nn++++=product
or ^cc++++=or
outcome ^nn++++=outcome
that ^tht+rel+subj++=that
will ^md+prd+++=will
perform ^vb++++=perform
effectively ^rb++++=effectively.
. ^zz++++=EXTRAWORD
