We ^pp1a+pp1+++=We
reviewed ^vbd+++xvbn+=reviewed
70 ^cd++++=70
studies ^nns++++=studies
investigating ^vwbg+++xvbg+=investigating
20 ^cd++++=20
topical ^jj+atrb+++=topical
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
including ^in++++=including
dressings ^nns++++=dressings
with ^in++++=with
various ^jj+atrb+++=various
mechanisms ^nns++++=mechanisms
of ^in++++=of
action ^nn++++=action,
, ^zz++++=EXTRAWORD
analgesic ^jj+atrb+++=analgesic
drugs ^nns++++=drugs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
antimicrobial ^nn+++??+=antimicrobial
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
reported ^vbd+vpub++xvbn+=reported
promising ^jj+atrb+++=promising
results ^nns++++=results
in ^in++++=in
pain ^nn++++=pain
mitigation ^nn++++=mitigation.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
31.4 ^cd++++=31.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
utilized ^vbd+++xvbn+=utilized
standardized ^nn+++??+=standardized
pain ^nn++++=pain
assessment ^nn++++=assessment
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Visual ^jj+atrb+++=Visual
Analogue ^nn++++=Analogue
Scale ^nn++++=Scale,
, ^zz++++=EXTRAWORD
Numerical ^jj+atrb+++=Numerical
Verbal ^jj+atrb+++=Verbal
Scale ^nn++++=Scale,
, ^zz++++=EXTRAWORD
Mcgill ^np++++=McGill
Pain ^nn++++=Pain
Questionnaire ^nn++++=Questionnaire,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
categorical ^jj+atrb+++=categorical
assessments ^nns++++=assessments
( ^zz++++=(no
no ^at++++=EXTRAWORD
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
mild ^jj++++=mild,
, ^zz++++=EXTRAWORD
moderate ^jj++++=moderate,
, ^zz++++=EXTRAWORD
severe ^jj++++=severe).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
survey ^nn++++=survey
assessing ^vwbg+++xvbg+=assessing
attitudes ^nns++++=attitudes
and ^cc++++=and
knowledge ^nn++++=knowledge
regarding ^in++++=regarding
pain ^nn++++=pain
assessment ^nn++++=assessment
and ^cc++++=and
management ^nn++++=management
among ^in++++=among
healthcare ^nn+++??+=healthcare
providers ^nns+++??+=providers
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
nurses ^nns++++=nurses
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
lower ^jjr+atrb+++=lower
level ^nn++++=level
of ^in++++=of
knowledge ^nn++++=knowledge
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
( ^zz++++=(Nuseir
nuseir ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
