With ^in++++=With
few ^ap++++=few
exceptions ^nns++++=exceptions
( ^zz++++=(Auyero,
auyero ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Lawson ^np++++=Lawson
and ^cc++++=and
Greene ^np+++??+=Greene,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Finan ^np+++??+=Finan
and ^cc++++=and
Schechter ^np+++??+=Schechter,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
literature ^nn++++=literature
generally ^rb+down+++=generally
overlooks ^vbz++++=overlooks
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
friendship ^nn++++=friendship
and ^cc++++=and
the ^ati++++=the
roles ^nns++++=roles
of ^in++++=of
gratitude ^nn++++=gratitude,
, ^zz++++=EXTRAWORD
reciprocity ^nn++++=reciprocity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
obligation ^nn++++=obligation
in ^in++++=in
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
political ^jj+atrb+++=political
brokerage ^nn+++??+=brokerage.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
factors ^nns++++=factors
can ^md+pos+++=can
function ^vb++++=function
as ^ql++++=as
mechanisms ^nns++++=mechanisms
for ^in++++=for
establishing ^xvbg+++xvbg+=establishing
or ^cc++++=or
maintaining ^xvbg+++xvbg+=maintaining
relationships ^nns++++=relationships
and ^cc++++=and
may ^md+pos+++=may
serve ^vb++++=serve
to ^to++++=to
mitigate ^vbi++++=mitigate
opportunistic ^nn+++??+=opportunistic
or ^cc++++=or
predatory ^jj+atrb+++=predatory
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
many ^ap++++=many
studies ^nns++++=studies
conceptualize ^nn+++??+=conceptualize
these ^dt+dem+++=these
relationships ^nns++++=relationships
primarily ^rb+down+++=primarily
as ^in++++=as
market ^nn++++=market
transactions ^nns++++=transactions,
, ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=driven
by ^in++++=by
instrumental ^jj+atrb+++=instrumental
calculations ^nns++++=calculations
( ^zz++++=(Brusco,
brusco ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Nazareno ^np+++??+=Nazareno
& ^zz++++=&
Stokes ^np++++=Stokes,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Stokes ^np++++=Stokes
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
zarazaga ^np++++=Zarazaga,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
camp ^nn++++=Camp,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
