Carlos ^np++++=Carlos,
, ^zz++++=EXTRAWORD
a ^at++++=a
physical ^jj+atrb+++=physical
education ^nn++++=education
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
stated ^j+++xvbn+=stated,
, ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
case ^nn++++=case,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=I
approach ^nn++++=approach
movement ^nn++++=movement,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
essential ^nn++++=essential."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
