It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
noteworthy ^jj+pred+++=noteworthy
that ^tht+jcmp+++=that
the ^ati++++=the
only ^rb+down+++=only
interviewee ^nn+++??+=interviewee
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
consider ^vb+vprv+++=consider
mayoral ^jj+atrb+++=mayoral
support ^nn++++=support
important ^jj++++=important
for ^in++++=for
a ^at++++=a
legislator ^nn++++=legislator
s ^zz++++=s
election ^nn++++=election
was ^vbd+bedz+vrb++=was
a ^at++++=a
second ^od++++=second-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
representative ^jj++++=representative
whose ^whp+who+++=whose
activities ^nns++++=activities
are ^vb+ber+aux++=are
concentrated ^vpsv++agls+xvbnx+=concentrated
in ^in++++=in
a ^at++++=a
specific ^jj+atrb+++=specific
policy ^nn++++=policy
area ^nn++++=area.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
legislator ^nn++++=legislator
s ^zz++++=s
most ^ap+emph+++=most
significant ^jj+atrb+++=significant
local ^jj+atrb+++=local
relationships ^nns++++=relationships
are ^vb+ber+vrb++=are
with ^in++++=with
other ^ap++++=other
actors ^nns++++=actors,
, ^zz++++=EXTRAWORD
including ^in++++=including
bureaucrats ^nns++++=bureaucrats
in ^in++++=in
managerial ^jj+atrb+++=managerial
positions ^nns++++=positions,
, ^zz++++=EXTRAWORD
Ngo ^np+++??+=NGO
presidents ^npts++++=presidents,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
organizations ^nns++++=organizations
operating ^vwbg+++xvbg+=operating
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
policy ^nn++++=policy
domain ^nn++++=domain.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
her ^pp$+pp3+++=her
adviser ^nn++++=adviser,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
office ^nn++++=office
makes ^vbz++++=makes
extensive ^jj+atrb+++=extensive
use ^nn++++=use
of ^in++++=of
social ^jj+atrb+++=social
media ^nns++++=media
to ^in++++=to
publicize ^nn+++??+=publicize
the ^ati++++=the
legislator ^nn++++=legislator
s ^zz++++=s
actions ^nns++++=actions,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
deliberate ^jj+atrb+++=deliberate
strategy ^nn++++=strategy
to ^in++++=to
minimize ^nn+++??+=minimize
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
local ^jj+atrb+++=local
politicians ^nns++++=politicians
as ^ql++++=as
intermediaries ^nns++++=intermediaries
and ^cc++++=and
to ^to++++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
more ^rbr++++=more
direct ^jj+atrb+++=direct
connection ^nn++++=connection
with ^in++++=with
voters ^nns++++=voters.
. ^zz++++=EXTRAWORD
