Certain ^jj+atrb+++=Certain
meetings ^nns++++=meetings
can ^md+pos+++=can
be ^vb+be+vrb++=be
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
data ^nns++++=data
that ^tht+rel+subj++=that
deviate ^vb++++=deviate
from ^in++++=from
the ^ati++++=the
general ^jj+atrb+++=general
trend ^nn++++=trend
observed ^vbd+++xvbn+=observed
within ^in++++=within
a ^at++++=a
group ^nn++++=group.
. ^zz++++=EXTRAWORD
In ^in++++=In
groups ^nns++++=groups
A ^at++++=A
and ^cc++++=and
B ^zz++++=B,
, ^zz++++=EXTRAWORD
specific ^jj+atrb+++=specific
meetings ^nns++++=meetings
display ^nn++++=display
data ^nns++++=data
that ^tht+rel+subj++=that
indicate ^vb+vprv+++=indicate
the ^ati++++=the
emergence ^nn++++=emergence
of ^in++++=of
particular ^jj+atrb+++=particular
situations ^nns++++=situations.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
group ^nn++++=group
B ^zz++++=B,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
marked ^nn++++=marked
decrease ^vb++++=decrease
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
verbal ^jj+atrb+++=verbal
communication ^nn++++=communication
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
the ^ati++++=the
social ^jj+atrb+++=social
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
percentage ^nn++++=percentage
of ^in++++=of
time ^nn++++=time
allocated ^vwbn+++xvbn+=allocated
to ^in++++=to
scientific ^jj+atrb+++=scientific
conduct ^nn++++=conduct
during ^in++++=during
the ^ati++++=the
second ^od++++=second
meeting ^nvbg+++xvbg+=meeting.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fourth ^od++++=fourth
meeting ^nvbg+++xvbg+=meeting
in ^in++++=in
group ^nn++++=group
B ^zz++++=B
was ^vbd+bedz+vrb++=was
notable ^jj+pred+++=notable
for ^in++++=for
a ^at++++=a
substantially ^rb++++=substantially
high ^jj+atrb+++=high
percentage ^nn++++=percentage
of ^in++++=of
time ^nn++++=time
devoted ^vbd+++xvbn+=devoted
to ^in++++=to
scientific ^jj+atrb+++=scientific
activities ^nns++++=activities
( ^zz++++=(87%),
87% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
phenomenon ^nn++++=phenomenon
that ^tht+rel+subj++=that
will ^md+prd+++=will
be ^vb+be+vrb++=be
further ^jjb++++=further
examined ^jj+++xvbn+=examined
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
the ^ati++++=the
adult ^jj+atrb+++=adult's
's ^vbz+bez+vrb++0=EXTRAWORD
role ^nn++++=role.
. ^zz++++=EXTRAWORD
In ^in++++=In
group ^nn++++=group
A ^at++++=A,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
complex ^jj+atrb+++=complex
scientific ^jj+atrb+++=scientific
behaviors ^nns+++??+=behaviors
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
beginning ^vbg+++xvbg+=beginning
with ^in++++=with
the ^ati++++=the
second ^od++++=second
meeting ^nvbg+++xvbg+=meeting
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
section ^nn++++=section
4.2 ^cd++++=4.2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
such ^abl++++=such
developments ^nns++++=developments
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
evident ^jj++++=evident
in ^in++++=in
group ^nn++++=group
C ^zz++++=C,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
children ^nns++++=children
did ^vbd+dod+aux++=did
not ^xnot++not++=not
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
engage ^vbi++++=engage
in ^in++++=in
more ^rbr++++=more
complex ^jj+atrb+++=complex
epistemic ^nn+++??+=epistemic
behaviors ^nns+++??+=behaviors,
, ^zz++++=EXTRAWORD
advanced ^jj+atrb++xvbn+=advanced
verbal ^jj+atrb+++=verbal
communication ^nn++++=communication
modalities ^nns++++=modalities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
increased ^vbd+++xvbn+=increased
collaborative ^nn++++=collaborative
social ^jj+atrb+++=social
interactions ^nns++++=interactions.
. ^zz++++=EXTRAWORD
