Goeppertia ^np+++??+=Goeppertia
monophylla ^nn+++??+=monophylla
is ^vbz+bez+vrb++=is
capable ^jj+pred+++=capable
of ^in++++=of
forming ^xvbg+++xvbg+=forming
large ^jj+atrb+++=large
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
with ^in++++=with
group ^nn++++=group
sizes ^nns++++=sizes
exceeding ^vwbg+++xvbg+=exceeding
30 ^cd++++=30
individuals ^nns++++=individuals
( ^zz++++=(Saka
saka ^nn+++??+=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phenomenon ^nn++++=phenomenon
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Saka ^np+++??+=Saka
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
species ^nns++++=species
may ^md+pos+++=may
produce ^vb++++=produce
flowers ^nns++++=flowers
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
purple ^jj+pred+++=purple,
, ^zz++++=EXTRAWORD
grayish ^nn+++??+=grayish-white,
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pale ^nn++++=pale
yellow ^jj++++=yellow;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
latter ^ap++++=latter
two ^cd++++=two
flower ^nn++++=flower
colorations ^nns++++=colorations
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbn+=observed.
. ^zz++++=EXTRAWORD
