Health ^nn++++=Health
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
feeling ^xvbg+++xvbg+=feeling
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
engaging ^vbg+++xvbg+=engaging
in ^in++++=in
activities ^nns++++=activities
one ^cd1++++=one
enjoys ^vbz++++=enjoys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showing ^jj+atrb++xvbg+=showing
respect ^nn++++=respect
for ^in++++=for
others ^aps++++=others.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
constitutes ^vbz++++=constitutes
being ^vbg+beg++xvbg+=being
perfectly ^rb+amp+++=perfectly
healthy ^jj++++=healthy
and ^cc+phrs+++=and
maintaining ^jj+++xvbg+=maintaining
a ^at++++=a
healthy ^jj+atrb+++=healthy
life ^nn++++=life
and ^cc++++=and
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vb+be+vrb++=EXTRAWORD
( ^zz++++=(Fabiana
fabiana ^nn++++=EXTRAWORD
pe ^np++++=PE
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
